Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,6.19,0.35,-1.84,-0.27,-3.44,93.43,0.5181468030124741
1990-01-08,6.22,3.47,-1.99,-0.4,-3.81,87.86,0.2335009157814056
1990-01-15,6.26,1.86,3.37,4.94,1.54,92.79,0.0853771774861069
1990-01-22,6.25,1.3,7.21,9.37,4.99,83.33,0.0759203682741596
1990-01-29,6.26,20.1,5.83,8.44,3.39,74.84,0.2052674194496742
1990-02-05,6.28,4.45,6.06,10.49,2.97,76.24,0.4715454307557714
1990-02-12,6.32,10.91,6.04,10.66,2.8,74.18,0.870898789318014
1990-02-19,6.33,15.25,3.71,7.01,0.94,87.8,1.3975449975761762
1990-02-26,6.32,10.48,9.89,15.54,5.1,71.65,2.0438584018351573
1990-03-05,6.33,13.83,3.96,6.69,1.49,78.35,2.800480609075069
1990-03-12,6.33,11.12,8.39,11.61,5.9,78.15,3.656455993222939
1990-03-19,6.29,0.54,8.64,15.67,2.73,67.28,4.599390328803196
1990-03-26,6.25,0.54,8.97,13.03,5.49,73.52,5.615630255006252
1990-04-02,6.22,0.01,8.57,14.3,3.34,73.56,6.690460971598593
1990-04-09,6.19,2.22,5.11,11.31,-0.31,63.26,7.808319304105489
1990-04-16,6.19,1.4,7.91,14.03,2.09,68.85,8.953019053157792
1990-04-23,6.16,1.27,10.7,16.56,5.46,72.86,10.1079853650223
1990-04-30,6.14,7.85,9.79,14.03,6.76,77.38,11.256494729711342
1990-05-07,6.11,0.0,17.03,24.8,7.29,58.17,12.381917131583826
1990-05-14,6.08,20.03,15.84,22.06,10.66,72.52,13.467956846180329
1990-05-21,6.05,0.5,12.97,18.87,6.79,66.75,14.49888839663865
1990-05-28,6.04,0.09,13.01,18.86,7.03,59.33,15.459784253122123
1990-06-04,6.09,17.35,14.51,20.91,8.64,67.27,16.33673097825351
1990-06-11,6.35,136.44,14.27,18.27,11.1,83.25,17.117030688842853
1990-06-18,6.53,6.25,15.27,19.44,10.77,73.34,17.789384916814328
1990-06-25,6.42,11.38,17.66,23.33,12.46,75.74,18.34405820708908
1990-07-02,6.34,7.27,19.43,24.34,15.17,74.21,18.77301908358464
1990-07-09,6.31,14.32,16.11,20.81,11.73,72.41,19.070056342191744
1990-07-16,6.25,0.38,16.19,22.11,10.5,66.93,19.2308689868467
1990-07-23,6.21,1.95,17.0,22.6,12.76,68.94,19.25312850645668
