Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,2.96,0.58,-1.96,-0.37,-3.53,92.42,0.3800120501575463
1990-01-08,2.99,2.21,-2.11,-0.44,-3.94,87.48,0.0960980645979923
1990-01-15,2.99,1.44,3.1,4.77,1.29,92.71,-0.0517265562959963
1990-01-22,2.99,3.16,6.89,9.1,4.67,83.58,-0.0613214283040921
1990-01-29,3.0,19.77,5.59,8.29,3.17,75.24,0.0674523747723156
1990-02-05,3.03,5.89,5.91,10.34,2.86,76.29,0.3327303095680634
1990-02-12,3.05,10.22,5.79,10.39,2.59,74.16,0.7306713602753341
1990-02-19,3.06,15.41,3.49,6.83,0.79,88.04,1.2555136535309597
1990-02-26,3.07,12.25,9.77,15.47,5.04,71.21,1.8996578858098545
1990-03-05,3.09,10.75,3.76,6.49,1.33,78.63,2.6537773553620445
1990-03-12,3.1,10.49,8.19,11.46,5.67,78.36,3.5069530055167952
1990-03-19,3.12,0.04,8.57,15.56,2.76,66.69,4.446831524033453
1990-03-26,3.11,1.57,8.8,12.91,5.36,73.64,5.459804209344632
1990-04-02,3.09,0.0,8.4,14.04,3.3,73.91,6.531204013849256
1990-04-09,3.04,0.84,4.94,11.07,-0.34,64.13,7.645517911223592
1990-04-16,3.01,4.38,7.7,13.74,2.03,69.29,8.78661151283868
1990-04-23,2.97,6.55,10.44,16.21,5.3,73.65,9.93796268101513
1990-04-30,2.94,12.06,9.59,13.83,6.61,77.46,11.082900756579132
1990-05-07,2.9,0.0,16.83,24.5,7.39,58.53,12.204847936892945
1990-05-14,2.9,20.36,15.64,21.74,10.63,72.77,13.287559309395432
1990-05-21,2.89,5.68,12.83,18.67,6.8,67.18,14.315358065156875
1990-05-28,2.87,0.82,12.89,18.67,7.06,59.89,15.2733624867394
1990-06-04,2.84,17.98,14.27,20.64,8.54,67.22,16.147701423758463
1990-06-11,2.9,125.68,13.96,17.99,10.81,83.43,16.925715136228277
1990-06-18,3.04,7.97,15.01,19.16,10.64,73.93,17.596138597637715
1990-06-25,3.09,24.44,17.47,23.11,12.36,75.59,18.14926460367223
1990-07-02,3.09,10.37,19.36,24.26,15.17,73.75,18.577084324895893
1990-07-09,3.1,16.57,15.89,20.54,11.6,72.88,18.873403268301296
1990-07-16,3.1,6.32,16.03,21.93,10.41,67.01,19.0339309686952
1990-07-23,3.09,0.93,16.86,22.5,12.6,68.7,19.05634311125933
1990-07-30,3.03,1.79,18.67,24.96,12.86,72.37,18.940315185800472
1990-08-06,2.94,2.18,21.36,28.69,13.71,56.76,18.687527185402782
1990-08-13,2.92,15.5,17.86,24.14,12.81,74.74,18.30163928144954
1990-08-20,2.96,36.16,17.56,22.81,13.57,77.66,17.78823882722088
1990-08-27,2.99,2.05,16.73,22.74,11.03,70.12,17.154759457413746
1990-09-03,3.01,15.91,18.06,24.74,12.74,73.48,16.41037345495935
1990-09-10,3.01,24.55,12.86,16.53,10.47,84.28,15.56585894358194
1990-09-17,3.03,2.28,12.29,16.83,8.44,78.63,14.6334438290462
1990-09-24,3.04,14.9,11.03,15.31,8.53,76.3,13.62662874870115
1990-10-01,3.04,10.34,11.61,15.66,8.14,79.4,12.55999159287201
1990-10-08,3.06,1.09,12.01,16.69,8.9,79.59,11.448976428476287
1990-10-15,3.06,0.0,12.27,18.86,6.94,77.53,10.30966988108458
1990-10-22,3.08,17.7,10.39,15.2,7.03,81.18,9.158568213236896
1990-10-29,3.08,6.12,5.09,10.69,1.11,76.67,8.012338471538557
1990-11-05,3.08,6.48,5.81,9.16,3.43,85.25,6.887577160936877
1990-11-12,3.09,3.02,4.91,7.49,2.57,88.62,5.80056994038561
1990-11-19,3.1,18.45,7.5,9.31,5.87,89.79,4.767055819314847
1990-11-26,3.1,22.04,3.2,5.23,1.4,90.28,3.801999269155994
1990-12-03,3.12,6.98,1.53,4.01,-1.13,89.21,2.919373549567637
1990-12-10,3.14,29.02,-0.41,1.5,-2.2,85.25,2.131958386628137
