Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,28.16,0.24,-1.51,-0.23,-2.69,83.63,0.6994253697882264
1990-01-08,28.15,2.06,-0.81,0.4,-2.76,84.62,0.4096774498218405
1990-01-15,28.17,1.38,3.84,5.7,2.1,88.21,0.2515096333281157
1990-01-22,28.17,5.68,7.04,8.89,4.77,81.33,0.2272122814567829
1990-01-29,28.18,25.14,5.31,8.69,2.61,75.97,0.3371372338677894
1990-02-05,28.21,5.36,5.81,9.39,3.14,76.09,0.5796927138901857
1990-02-12,28.25,9.22,5.54,9.69,1.97,74.54,0.951366378365794
1990-02-19,28.29,13.07,3.63,6.76,0.84,85.72,1.4467761784027289
1990-02-26,28.3,7.59,9.01,14.69,4.36,73.85,2.0587482945453983
1990-03-05,28.31,15.32,3.77,6.66,1.3,81.66,2.778421017815245
1990-03-12,28.34,12.39,7.96,10.5,5.56,80.81,3.5953730723645183
1990-03-19,28.38,0.62,7.63,14.91,1.66,71.78,4.497774521557504
1990-03-26,28.36,1.8,8.46,12.1,5.34,73.34,5.472558072271417
1990-04-02,28.34,0.11,7.93,14.37,2.36,72.57,6.505608296832921
1990-04-09,28.31,1.99,4.6,10.53,-0.61,61.99,7.581966032546762
1990-04-16,28.28,8.16,7.21,12.57,2.06,72.19,8.686044998994218
1990-04-23,28.28,4.94,9.89,15.61,4.64,72.54,9.801857496357012
1990-04-30,28.27,3.62,10.13,14.93,6.33,70.11,10.913245916526153
1990-05-07,28.25,0.0,17.34,24.9,7.53,57.58,12.004116714580348
1990-05-14,28.22,2.7,15.2,20.79,10.1,71.8,13.058673452592954
1990-05-21,28.19,6.88,13.11,18.61,7.33,66.86,14.061645541157729
1990-05-28,28.17,0.71,12.49,18.47,5.51,60.53,14.998509366325557
1990-06-04,28.17,22.27,14.34,21.04,7.84,66.23,15.855698599905647
1990-06-11,28.16,30.32,13.84,17.93,10.4,82.43,16.62080064771747
1990-06-18,28.15,3.01,14.69,18.84,10.01,73.31,17.282736391108735
1990-06-25,28.15,18.22,16.9,21.9,11.84,77.24,17.83192061897961
1990-07-02,28.16,11.31,19.03,24.09,14.96,74.75,18.260400827164226
1990-07-09,28.16,12.29,15.54,20.24,11.3,72.62,18.561972375274863
