Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,71.13,0.41,-1.56,-0.29,-2.67,84.37,0.4564605824890737
1990-01-08,71.03,1.05,-0.84,0.26,-2.51,86.56,0.1644251434999137
1990-01-15,71.04,2.91,3.63,5.39,1.89,89.72,0.0021427779688032
1990-01-22,71.03,12.95,6.76,8.51,4.57,82.06,-0.0280365653547196
1990-01-29,71.03,21.74,5.1,8.29,2.57,76.99,0.0743241290354443
1990-02-05,71.03,3.85,5.69,8.99,3.21,76.94,0.3077426151479034
1990-02-12,71.02,16.3,5.4,9.3,2.17,75.3,0.6688388493299247
1990-02-19,71.03,9.09,3.27,6.21,0.67,86.64,1.152383935384477
1990-02-26,71.23,15.17,8.91,14.3,4.61,74.4,1.7513758422122263
1990-03-05,71.35,20.17,3.59,6.39,1.3,82.02,2.4571407975407924
1990-03-12,71.3,17.31,7.59,9.97,5.3,81.69,3.259458889497433
1990-03-19,71.27,0.42,7.7,14.44,2.14,72.21,4.14671205723641
1990-03-26,71.24,2.4,8.21,11.84,5.33,74.37,5.106052327626217
1990-04-02,71.2,0.0,7.73,13.9,2.37,73.41,6.123587861825419
1990-04-09,71.17,3.56,4.43,10.06,-0.43,63.02,7.184584117677296
1990-04-16,71.15,15.48,7.16,12.26,2.41,72.45,8.273677214968782
1990-04-23,71.12,8.33,9.61,15.0,4.7,73.5,9.375096413892669
1990-04-30,71.04,4.37,10.0,14.77,6.27,69.46,10.472892485087115
1990-05-07,71.04,0.0,16.97,24.3,7.74,58.74,11.551168664314568
1990-05-14,71.0,13.4,15.16,20.5,10.49,71.89,12.594310847413318
1990-05-21,71.02,10.73,12.86,18.14,7.43,67.69,13.587213692156254
1990-05-28,71.02,0.72,12.0,17.69,5.37,62.77,14.515499352923564
1990-06-04,71.01,21.53,14.07,20.41,7.93,66.8,15.365725680775787
1990-06-11,70.99,39.64,13.69,17.57,10.49,83.86,16.12558087406135
1990-06-18,70.96,0.34,14.33,18.24,10.0,74.98,16.78406176089861
1990-06-25,70.9,15.0,16.77,21.51,12.14,78.17,17.33163313189165
1990-07-02,70.84,11.92,18.84,23.74,15.0,74.88,17.760365815843443
1990-07-09,70.92,12.06,15.26,19.64,11.23,74.16,18.064051499045696
1990-07-16,71.17,2.7,16.0,21.73,10.3,65.64,18.238292625490693
1990-07-23,71.09,1.08,16.89,22.44,12.29,68.84,18.280566076194617
1990-07-30,70.81,0.15,18.51,24.47,12.79,71.03,18.19025970551679
1990-08-06,70.73,0.18,21.17,28.07,13.7,56.77,17.96868120540607
1990-08-13,70.75,21.97,17.7,22.86,12.96,74.96,17.6190391692149
1990-08-20,70.81,35.79,16.96,21.97,13.67,78.72,17.146396629288457
1990-08-27,70.82,1.54,16.9,22.33,11.77,69.92,16.55759774113332
1990-09-03,70.82,13.07,17.97,23.99,13.46,72.66,15.861168675824366
1990-09-10,70.84,41.54,12.53,16.3,9.96,87.04,15.067194155788552
1990-09-17,70.87,2.16,12.31,16.4,8.7,78.98,14.187171421803711
1990-09-24,70.87,24.24,10.76,14.43,8.39,79.37,13.233843745860806
1990-10-01,70.85,7.47,11.23,15.06,8.11,81.56,12.221015900725252
1990-10-08,70.82,7.37,11.41,15.31,8.49,83.9,11.163354258312223
1990-10-15,70.78,0.0,12.66,17.94,8.09,79.59,10.076174411575382
1990-10-22,70.78,0.0,10.91,15.43,7.39,82.49,8.97521939527399
1990-10-29,70.83,12.8,5.96,11.0,2.11,72.35,7.876431717119016
1990-11-05,70.82,16.86,5.47,8.46,2.96,87.17,6.795722500428431
1990-11-12,70.79,2.28,4.91,6.99,2.39,91.27,5.748741081247305
1990-11-19,70.79,28.44,7.56,9.04,6.4,91.1,4.7506483963091
1990-11-26,70.82,17.41,3.09,4.73,1.44,89.41,3.815897443320788
1990-12-03,70.85,7.74,1.81,4.23,-0.99,88.93,2.9580239926411664
1990-12-10,70.83,11.06,-0.24,2.03,-2.4,84.79,2.189450580976992
1990-12-17,70.84,10.14,0.6,2.03,-0.39,88.34,1.5213066253894798
1990-12-24,70.85,9.36,0.63,2.4,-1.2,89.19,0.9632672624703992
1990-12-31,70.89,25.82,2.74,4.9,0.61,82.4,0.5234132463964691
1991-01-07,70.87,17.72,5.01,6.99,2.39,78.92,0.2081139346248317
1991-01-14,70.86,2.67,4.33,7.21,1.84,77.32,0.021935055668278
1991-01-21,70.87,4.95,-1.49,2.4,-5.6,74.66,-0.032427405469777
1991-01-28,71.0,0.3,1.6,2.63,0.4,87.12,0.0458137531790256
1991-02-04,71.1,0.06,-4.56,-0.97,-7.81,65.8,0.2555255513778576
1991-02-11,71.14,12.96,-6.21,-3.73,-9.11,81.48,0.5936712329374512
1991-02-18,71.17,6.25,-3.37,-1.13,-6.99,85.07,1.055354239818712
1991-02-25,71.2,6.79,1.39,6.71,-3.86,83.86,1.6338891173133696
1991-03-04,71.23,0.0,1.59,5.63,-1.26,75.76,2.320898323551908
1991-03-11,71.24,2.56,6.44,10.59,2.01,80.81,3.1064335414769406
1991-03-18,71.24,0.38,7.96,13.39,3.46,84.55,3.97911973661046
1991-03-25,71.23,17.67,7.5,10.93,4.51,82.71,4.926319874569437
1991-04-01,71.22,9.52,4.39,8.53,-0.41,68.32,5.934317913117972
1991-04-08,71.2,9.36,9.69,14.56,4.87,72.55,6.98851741891914
1991-04-15,71.18,0.1,11.36,17.26,3.29,59.5,8.073652932893067
1991-04-22,71.14,7.08,3.04,7.91,-1.61,68.5,9.174011023479856
1991-04-29,71.14,3.16,7.54,12.63,1.2,71.49,10.273657826820878
1991-05-06,71.13,21.67,7.07,10.46,3.26,81.77,11.356669778935752
1991-05-13,71.14,6.79,10.09,13.67,4.86,76.22,12.40736419875012
1991-05-20,71.21,5.54,10.06,14.46,3.26,70.13,13.410526382990966
1991-05-27,71.23,1.13,11.19,14.93,6.97,66.17,14.351629924474707
1991-06-03,71.22,4.08,14.23,19.51,6.71,61.86,15.21704706344281
1991-06-10,71.21,3.94,13.74,18.29,7.53,65.34,15.99424602592896
1991-06-17,71.2,21.75,14.0,18.49,9.8,72.0,16.671972491575904
1991-06-24,71.18,37.48,15.67,20.56,10.79,75.49,17.24041256313565
1991-07-01,71.16,27.23,15.91,20.09,10.84,76.93,17.69133487775505
1991-07-08,71.1,0.0,23.41,28.73,14.63,57.39,18.01820980218714
1991-07-15,70.83,5.62,21.21,26.37,13.91,66.33,18.21630398590787
1991-07-22,70.79,10.76,16.73,21.44,12.87,72.49,18.282748902951404
1991-07-29,71.03,10.95,19.86,25.37,11.73,65.76,18.21658238993536
1991-08-05,71.12,0.72,21.49,25.91,16.06,74.7,18.01876257878008
1991-08-12,71.09,15.22,20.91,26.36,15.7,71.14,17.692154022367436
1991-08-19,70.99,11.98,16.74,22.2,10.91,72.76,17.241486214048194
1991-08-26,70.85,4.45,17.36,22.51,11.4,72.18,16.673285101661193
1991-09-02,70.73,4.19,17.01,23.24,10.17,70.23,15.99577858778337
1991-09-09,70.74,0.64,15.81,21.6,9.87,67.61,15.218777384625312
1991-09-16,70.73,10.42,14.33,21.51,7.1,68.88,14.353532948867354
1991-09-23,70.73,4.19,14.14,20.06,9.51,77.35,13.41257455362681
1991-09-30,70.76,14.83,14.73,19.6,10.9,79.11,12.409527856854917
1991-10-07,70.75,6.85,12.29,16.8,8.09,78.01,11.358917593405646
1991-10-14,70.73,4.26,13.57,19.33,9.13,79.53,10.275957247915947
1991-10-21,70.7,9.69,8.29,12.59,4.06,76.36,9.176328754164215
1991-10-28,70.78,1.65,4.17,9.01,-0.84,77.69,8.075955410996889
1991-11-04,70.84,16.98,5.03,8.9,1.16,74.23,6.99077130313936
1991-11-11,70.83,31.32,5.47,8.04,3.11,85.91,5.936490565820748
1991-11-18,70.82,1.32,4.66,6.91,2.46,84.21,4.928379834403592
1991-11-25,70.84,1.7,2.57,4.74,-0.0,88.13,3.981037174087056
1991-12-02,70.85,0.1,2.44,4.21,0.71,91.01,3.1081806909185223
1991-12-09,70.82,0.95,0.79,3.6,-1.53,83.72,2.3224498851569635
1991-12-16,70.82,0.0,-1.29,1.63,-5.11,77.14,1.6352226235128855
1991-12-23,70.78,38.74,3.84,6.46,0.63,85.17,1.056450380620328
1991-12-30,70.81,5.4,3.2,5.67,0.39,82.49,0.5945141355462944
1992-01-06,70.83,8.31,4.76,6.73,2.66,82.01,0.2561030100442618
1992-01-13,70.81,4.15,1.84,4.87,-1.31,86.49,0.0461174059452869
1992-01-20,70.79,25.29,3.23,5.79,0.7,83.35,-0.0324019556829888
1992-01-27,70.96,0.24,-3.89,-1.11,-7.27,84.86,0.0216819339469722
1992-02-03,71.15,7.26,0.87,2.24,-0.74,89.82,0.2075859067540975
1992-02-10,71.17,5.96,4.03,6.89,1.3,81.82,0.5226179585455597
1992-02-17,71.17,14.69,4.23,6.84,2.03,84.59,0.9622162308979032
1992-02-24,71.13,6.99,2.31,4.57,-0.71,83.18,1.520015069680908
1992-03-02,71.15,0.76,5.56,11.81,1.06,77.15,2.187937203655612
1992-03-09,71.17,8.23,6.46,11.23,2.97,76.77,2.956310708344005
1992-03-16,71.17,17.64,3.51,7.56,-0.1,75.71,3.8140090614613262
1992-03-23,71.43,25.31,5.4,9.07,1.83,84.65,4.748612261821379
1992-03-30,71.42,8.72,2.9,6.03,0.06,82.0,5.746586678614546
1992-04-06,71.43,29.97,5.43,10.87,1.24,75.53,6.793481026729722
1992-04-13,71.32,4.46,8.24,14.54,2.57,65.36,7.874135630276008
1992-04-20,71.27,24.96,5.9,9.94,2.6,74.45,8.972901944040345
1992-04-27,71.25,17.3,11.01,16.44,5.39,65.98,10.073869154074506
1992-05-04,71.22,3.37,9.7,14.7,3.97,69.52,11.16109457609456
1992-05-11,71.19,22.59,10.01,14.84,5.0,72.96,12.218834515383037
1992-05-18,71.2,1.13,14.9,20.86,7.83,64.11,13.231772245199409
1992-05-25,71.23,0.0,18.79,25.09,10.71,49.99,14.185239802430356
1992-06-01,71.23,0.0,18.24,24.07,9.86,51.16,15.065430388743152
1992-06-08,71.21,5.7,20.44,26.03,14.96,55.11,15.859598301541736
1992-06-15,71.18,7.91,16.97,22.43,12.2,64.91,16.556243499601642
1992-06-22,71.14,0.96,18.29,24.46,11.64,55.8,17.145278130760378
1992-06-29,70.91,0.0,19.54,26.51,9.93,47.82,17.618172610239064
1992-07-06,70.83,25.49,19.3,25.13,13.81,63.45,17.968079134290917
1992-07-13,70.79,19.5,19.04,25.16,12.16,61.34,18.18993084062342
1992-07-20,70.79,25.3,19.03,24.54,12.71,66.95,18.280515179689548
1992-07-27,70.82,21.29,20.4,27.27,14.93,63.53,18.2385204343867
1992-08-03,70.84,14.96,20.31,27.03,12.99,61.77,18.064554714529468
