Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,34.77,0.13,-1.53,-0.26,-2.93,86.78,0.7949856134547222
1990-01-08,34.79,1.26,-1.16,0.07,-3.13,86.99,0.515644727004771
1990-01-15,34.81,2.08,3.96,5.59,2.16,88.77,0.369986098837348
1990-01-22,34.82,5.04,7.2,9.01,5.03,80.08,0.3601187187439247
1990-01-29,34.83,24.87,5.81,8.64,3.34,71.98,0.4861854564202339
1990-02-05,34.84,7.32,6.64,9.97,3.73,70.59,0.7463609928573725
1990-02-12,34.85,10.92,6.16,10.06,2.39,70.75,1.1368782491171157
1990-02-19,34.87,14.3,4.0,6.71,1.1,83.72,1.6520829298294435
1990-02-26,34.88,11.41,10.07,15.36,5.1,68.39,2.2845153916774894
1990-03-05,34.91,14.41,3.9,6.41,1.44,76.44,3.0250186514971853
1990-03-12,34.94,16.06,8.27,11.16,5.53,76.52,3.862870970142872
1990-03-19,34.96,0.16,8.66,15.4,2.61,64.41,4.785941092439162
1990-03-26,34.99,3.42,8.77,12.44,5.6,71.05,5.780863895500856
1990-04-02,35.03,0.0,8.66,13.93,2.96,69.78,6.833233902210864
1990-04-09,35.07,0.38,5.19,10.81,0.3,58.95,7.927813857976384
1990-04-16,35.12,8.81,8.29,13.39,3.14,66.18,9.04875535078298
1990-04-23,35.18,6.36,10.79,15.91,5.59,68.36,10.1798282801901
1990-04-30,35.21,7.0,10.14,14.09,6.76,71.03,11.304655852790068
1990-05-07,35.24,0.0,17.97,25.04,8.61,52.5,12.406951701632703
1990-05-14,35.27,10.51,15.79,21.24,11.39,69.17,13.470755696366286
1990-05-21,35.3,2.82,12.99,18.41,7.56,64.53,14.480665029802056
1990-05-28,35.31,0.28,13.03,18.14,7.11,57.04,15.422057235002622
1990-06-04,35.32,16.58,14.67,20.41,8.96,65.17,16.28130190383124
1990-06-11,35.33,70.23,13.9,17.54,10.79,81.73,17.04595804149243
1990-06-18,35.34,3.21,15.17,18.73,11.06,70.58,17.704954199568668
1990-06-25,35.33,40.32,17.39,22.2,12.73,73.15,18.24874877940908
1990-07-02,35.29,14.58,19.53,24.11,15.71,70.15,18.66946818483896
1990-07-09,35.25,13.89,16.03,20.19,11.96,68.22,18.961020823878584
1990-07-16,35.2,2.88,16.5,21.53,10.9,61.59,19.11918530884116
1990-07-23,35.15,1.38,17.11,22.31,12.77,66.02,19.141671577762235
1990-07-30,35.1,1.02,19.14,24.9,13.21,68.21,19.028154052183467
1990-08-06,35.03,0.0,21.93,28.16,14.59,50.78,18.7802763511998
1990-08-13,35.0,12.46,17.83,23.46,13.16,72.05,18.4016274935154
1990-08-20,34.98,27.4,17.5,22.57,14.04,73.24,17.89768993207833
1990-08-27,35.04,1.64,16.91,22.43,11.66,66.87,17.27576017370037
1990-09-03,35.15,24.36,18.34,24.31,13.69,68.54,16.544843133009252
1990-09-10,35.26,27.34,12.93,16.31,10.61,82.16,15.715521750381622
1990-09-17,35.36,5.49,12.47,16.33,9.2,75.16,14.799803761657278
1990-09-24,35.42,16.25,11.1,14.87,8.93,74.02,13.810947838254483
1990-10-01,35.4,6.86,11.71,15.51,8.43,77.05,12.763271615001518
1990-10-08,35.36,3.28,11.77,15.71,8.49,78.61,11.671944385248375
1990-10-15,35.31,0.0,13.4,18.63,8.61,72.7,10.552767464822868
1990-10-22,35.27,0.04,10.66,15.53,7.2,78.64,9.421945404939969
1990-10-29,35.26,6.19,6.07,11.17,2.06,68.73,8.295851366670083
1990-11-05,35.22,10.63,5.96,9.01,3.1,81.93,7.190790054106966
1990-11-12,35.17,0.94,5.0,7.21,2.5,89.28,6.12276163872321
1990-11-19,35.12,23.89,7.6,9.23,6.36,87.52,5.107230093051086
1990-11-26,35.1,16.85,3.53,5.26,1.8,86.7,4.158899287981728
1990-12-03,35.1,7.99,1.81,4.04,-1.06,89.43,3.2915000955685434
1990-12-10,35.13,29.83,-0.4,1.54,-2.79,83.86,2.5175915798708104
1990-12-17,35.15,15.66,0.57,1.76,-0.37,88.99,1.84837915439331
1990-12-24,35.17,10.05,0.56,2.27,-1.27,88.34,1.29355233901833
1990-12-31,35.18,13.39,3.24,5.41,0.76,75.46,0.8611444655463671
1991-01-07,35.19,13.92,5.63,7.27,3.24,75.68,0.5574163631667641
1991-01-14,35.21,3.56,4.81,7.56,2.61,73.89,0.386765707975778
1991-01-21,35.22,3.39,-1.37,2.39,-5.4,74.92,0.3516633490692431
1991-01-28,35.24,0.11,1.66,2.61,0.59,87.78,0.4526175331437141
1991-02-04,35.29,0.2,-4.79,-1.44,-7.76,64.74,0.6881665455977153
1991-02-11,35.36,13.48,-5.73,-3.53,-8.23,81.26,1.0548998746826097
1991-02-18,35.43,4.51,-2.99,-0.84,-5.69,85.59,1.5475075922673245
1991-02-25,35.47,4.91,2.16,6.9,-2.51,82.05,2.15885723623367
1991-03-04,35.5,0.03,1.77,5.54,-1.14,75.91,2.8800970813225595
1991-03-11,35.53,4.16,6.47,10.79,2.21,76.87,3.700784303173764
1991-03-18,35.56,1.18,8.13,13.37,3.87,80.35,4.609036179873242
1991-03-25,35.57,34.88,8.07,11.47,4.74,78.72,5.591702141762746
1991-04-01,35.55,8.28,4.66,8.19,0.54,67.67,6.634554178403445
1991-04-08,35.51,8.16,10.07,14.84,5.34,71.29,7.722492845794149
1991-04-15,35.49,0.0,11.91,17.33,3.91,56.64,8.839765891066932
1991-04-22,35.46,14.36,3.14,7.66,-0.86,71.41,9.97019632919573
1991-04-29,35.48,3.09,7.96,12.36,2.47,69.49,11.097416669397456
1991-05-06,35.5,29.75,7.24,10.4,4.04,79.22,12.205105899864378
1991-05-13,35.53,6.26,10.37,13.77,6.06,73.84,13.277225799527177
1991-05-20,35.55,5.23,10.14,14.4,3.9,67.58,14.2982531552945
1991-05-27,35.56,5.55,11.2,14.83,6.84,65.94,15.253404522496911
1991-06-03,35.58,1.68,14.79,19.73,7.87,59.13,16.128850274231446
1991-06-10,35.6,2.15,14.3,18.56,8.51,64.14,16.911914840388448
