Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,3.06,0.16,-1.76,-0.24,-3.26,93.36,0.6024273223665837
1990-01-08,3.04,2.53,-1.83,-0.24,-3.63,88.49,0.3164017228328628
1990-01-15,3.02,0.46,3.59,5.09,1.83,92.31,0.1663341204729391
1990-01-22,2.99,1.49,7.27,9.37,4.99,82.95,0.1543974235077509
1990-01-29,3.0,15.77,5.81,8.41,3.3,75.26,0.2807644696888083
1990-02-05,2.99,2.85,6.07,10.34,2.93,76.43,0.5436055236889352
1990-02-12,2.97,9.42,6.01,10.54,2.86,74.67,0.9391147708082616
1990-02-19,2.96,15.59,3.59,6.66,0.83,87.71,1.461565423379053
1990-02-26,2.97,12.77,9.94,15.47,5.31,71.72,2.103392641954609
1990-03-05,2.97,12.02,4.01,6.77,1.33,78.74,2.855303070622454
1990-03-12,2.97,8.72,8.31,11.49,5.6,78.52,3.7064094004220527
1990-03-19,2.97,0.12,8.63,15.51,2.63,67.26,4.644388012452136
1990-03-26,2.97,1.01,8.96,12.8,5.49,73.57,5.655657418069649
1990-04-02,2.98,0.0,8.5,14.23,3.19,73.38,6.725574912450298
1990-04-09,2.99,1.31,5.16,11.36,-0.44,62.77,7.838648594059692
1990-04-16,3.0,4.11,7.96,14.09,2.07,68.28,8.978761680093008
1990-04-23,3.0,7.33,10.76,16.54,5.53,73.15,10.129405869901214
1990-04-30,3.02,9.39,9.86,14.16,6.54,78.1,11.27392037741132
1990-05-07,3.04,0.0,17.04,24.86,7.04,59.44,12.39573317146377
1990-05-14,3.06,30.56,15.9,22.16,10.47,73.22,13.47860093102049
1990-05-21,3.07,2.55,12.9,18.7,6.67,67.9,14.50684424080514
1990-05-28,3.08,0.69,12.9,18.69,6.67,61.35,15.465574621853456
1990-06-04,3.08,17.8,14.49,20.87,8.6,69.18,16.34091010967824
1990-06-11,3.1,119.97,14.43,18.53,11.21,84.29,17.120176258578624
1990-06-18,3.15,7.61,15.23,19.49,10.61,75.23,17.792089661645896
1990-06-25,3.2,29.6,17.71,23.29,12.56,77.61,18.346921329182592
1990-07-02,3.2,6.75,19.34,24.29,14.97,75.54,18.776637559892336
1990-07-09,3.22,19.16,16.19,20.89,11.71,72.6,19.07501626509178
1990-07-16,3.22,3.52,16.21,22.14,10.4,67.07,19.237737061625047
1990-07-23,3.22,1.95,17.06,22.63,12.8,70.59,19.26244382897749
1990-07-30,3.23,5.39,18.67,24.93,12.64,73.52,19.14877882479134
1990-08-06,3.23,1.99,21.43,28.73,13.67,57.02,18.8983878648066
1990-08-13,3.24,22.68,17.97,24.04,12.94,75.41,18.51489649222409
1990-08-20,3.25,39.11,17.64,22.71,13.74,79.56,18.00385748154701
1990-08-27,3.2,1.56,16.84,22.89,11.07,70.7,17.372670437020766
1990-09-03,3.14,13.69,18.03,24.51,12.73,74.72,16.630474649847653
1990-09-10,3.13,30.15,13.07,16.6,10.57,84.41,15.788016765553628
1990-09-17,3.13,4.21,12.39,17.06,8.5,79.56,14.857495177621274
1990-09-24,3.14,11.96,11.14,15.16,8.71,77.67,13.852383400495937
1990-10-01,3.13,8.69,11.7,15.66,8.21,79.85,12.787234979440749
1990-10-08,3.12,1.37,12.23,16.83,8.99,80.32,11.67747276205392
1990-10-15,3.11,0.0,12.49,18.8,7.37,78.84,10.53916558269758
1990-10-22,3.1,14.68,10.23,15.04,6.69,82.5,9.388795593342415
1990-10-29,3.1,7.07,5.1,10.91,1.1,77.59,8.24301960976796
1990-11-05,3.09,5.56,5.81,9.11,3.39,86.51,7.118427928713205
1990-11-12,3.08,2.35,5.04,7.53,2.59,89.67,6.03130410819154
1990-11-19,3.07,20.18,7.67,9.4,6.11,90.36,4.997389189238059
1990-11-26,3.07,17.38,3.34,5.3,1.43,90.7,4.031653773047239
1990-12-03,3.08,4.0,1.93,4.43,-0.73,89.21,3.1480812537167324
1990-12-10,3.08,21.56,0.07,1.87,-1.77,85.75,2.359465345285103
1990-12-17,3.09,10.32,0.53,1.64,-0.46,89.66,1.67722483477662
1990-12-24,3.11,4.64,0.17,1.76,-1.47,89.82,1.111238243541841
1990-12-31,3.16,11.73,2.73,5.13,0.44,78.16,0.6697007909198653
1991-01-07,3.23,9.68,5.63,7.49,3.13,80.1,0.3590057313211439
1991-01-14,3.24,2.23,4.93,7.8,2.41,77.75,0.1836517829139499
1991-01-21,3.24,1.6,-1.93,1.59,-6.0,80.54,0.1461779883035845
1991-01-28,3.23,0.12,1.84,2.64,0.77,89.39,0.2471269503909958
1991-02-04,3.23,0.0,-5.04,-1.54,-8.41,67.88,0.4850369757382555
1991-02-11,3.23,6.08,-5.86,-3.24,-8.76,81.86,0.8564632392012967
1991-02-18,3.23,2.04,-2.53,-0.37,-5.49,82.95,1.356027663375949
1991-02-25,3.24,0.91,2.43,7.11,-2.67,82.04,1.9764967906264133
1991-03-04,3.22,0.0,2.04,5.66,-0.99,78.11,2.7088865201458754
1991-03-11,3.19,1.67,5.96,10.01,1.17,78.55,3.542592193505903
1991-03-18,3.17,1.08,7.53,12.5,2.6,85.67,4.465542145117146
1991-03-25,3.17,18.39,8.27,12.11,4.24,79.83,5.464372494262982
1991-04-01,3.18,3.33,5.14,8.93,0.83,65.8,6.524620647799737
1991-04-08,3.19,5.67,10.73,15.16,5.24,71.87,7.63093471169551
1991-04-15,3.19,0.0,11.83,17.53,3.61,59.86,8.76729577922712
1991-04-22,3.2,8.6,3.51,8.2,-0.71,74.61,9.91724987720675
1991-04-29,3.21,3.46,8.31,12.73,3.26,75.5,11.06414621176615
1991-05-06,3.22,34.27,7.54,10.94,3.56,82.41,12.19137826401161
1991-05-13,3.22,2.72,10.86,14.33,6.46,75.74,13.282624244598145
1991-05-20,3.23,9.95,9.99,14.33,3.99,70.71,14.322083425553885
1991-05-27,3.24,13.04,11.11,15.0,6.94,69.69,15.29470492738116
1991-06-03,3.26,1.33,15.0,20.2,6.6,61.03,16.186405648704692
1991-06-10,3.28,8.56,14.3,18.73,7.56,66.62,16.984274182948337
1991-06-17,3.29,25.44,15.69,19.6,10.96,65.93,17.67675776942277
1991-06-24,3.3,12.78,17.1,21.36,11.16,68.88,18.253829571860543
1991-07-01,3.29,19.65,16.97,21.04,11.83,73.83,18.70713386228394
1991-07-08,3.28,0.0,23.99,28.93,14.79,57.82,19.03010700801171
1991-07-15,3.27,26.25,21.49,26.63,14.83,67.59,19.218072509969737
1991-07-22,3.26,8.86,17.89,21.44,13.53,69.8,19.2683087161956
1991-07-29,3.25,2.02,20.19,25.87,12.04,64.02,19.1800882300775
1991-08-05,3.23,8.97,23.04,27.93,16.57,66.96,18.95468844271471
1991-08-12,3.21,19.74,21.96,27.26,16.5,66.79,18.59537303689587
1991-08-19,3.2,3.16,17.59,22.71,11.43,69.39,18.107344730509027
1991-08-26,3.18,9.07,17.76,22.23,11.64,72.11,17.497669943636332
1991-09-02,3.17,2.94,17.31,23.06,10.31,71.66,16.77517648011858
1991-09-09,3.16,0.78,15.99,21.69,8.93,65.58,15.950325705112288
1991-09-16,3.14,12.47,14.94,22.1,7.6,66.18,15.035061069448084
1991-09-23,3.12,7.04,15.26,20.8,10.36,74.65,14.0426351740864
1991-09-30,3.11,0.45,16.2,20.79,11.46,72.34,12.987417878695735
1991-10-07,3.1,5.25,13.44,18.67,8.46,72.17,11.884688232850884
1991-10-14,3.09,9.75,13.5,19.09,8.41,80.12,10.750413242589415
1991-10-21,3.08,2.84,8.79,13.09,5.17,75.94,9.601016675682532
1991-10-28,3.08,0.41,4.01,8.66,-0.94,78.38,8.453141253211069
1991-11-04,3.08,5.93,4.5,8.14,0.63,76.43,7.323407670800691
1991-11-11,3.07,18.93,5.8,8.2,3.49,85.08,6.228173938775292
1991-11-18,3.07,2.21,5.13,7.37,2.81,85.34,5.183298525869887
1991-11-25,3.07,2.54,2.07,4.43,-0.61,89.04,4.203910736070484
1991-12-02,3.07,0.02,2.94,4.63,1.49,92.59,3.304191643416199
1991-12-09,3.07,4.66,0.67,3.44,-1.6,87.74,2.4971687567245
1991-12-16,3.07,0.01,-1.53,1.11,-5.03,82.47,1.794527387397709
1991-12-23,3.08,18.07,3.96,6.29,0.6,85.36,1.2064414516160618
1991-12-30,3.07,7.74,3.1,6.07,0.39,86.09,0.7414261568219462
