Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,35.68,0.34,-1.64,-0.39,-2.96,87.24,0.6897403800297255
1990-01-08,35.69,1.49,-1.19,0.01,-3.01,87.56,0.4054591583631275
1990-01-15,35.71,1.89,3.9,5.54,2.19,88.97,0.2543144887628212
1990-01-22,35.7,4.98,7.14,8.96,4.99,80.35,0.2384948623845098
1990-01-29,35.71,25.14,5.71,8.53,3.31,72.34,0.3582293386618236
1990-02-05,35.72,7.05,6.46,9.74,3.73,71.76,0.6117842286525068
1990-02-12,35.73,10.12,6.0,9.89,2.44,71.81,0.9954881978946996
1990-02-19,35.73,12.22,3.83,6.57,1.01,84.1,1.5037854252977336
1990-02-26,35.75,9.64,9.87,15.19,5.07,68.87,2.1293160483564604
1990-03-05,35.78,14.11,3.83,6.34,1.41,76.89,2.8630227298864748
1990-03-12,35.81,15.01,8.1,10.9,5.51,77.21,3.694281803253247
1990-03-19,35.83,0.18,8.37,15.19,2.29,65.75,4.611057097184737
1990-03-26,35.83,3.4,8.63,12.34,5.51,71.33,5.600074212869051
1990-04-02,35.82,0.0,8.41,13.91,2.8,69.95,6.647012729902047
1990-04-09,35.85,0.68,5.03,10.66,0.1,59.38,7.73671355804808
1990-04-16,35.86,9.4,8.07,13.24,2.87,67.05,8.853398432475961
1990-04-23,35.87,6.94,10.53,15.74,5.39,69.28,9.980898374300278
1990-04-30,35.9,7.79,10.1,14.17,6.73,70.72,11.102887808446033
1990-05-07,35.93,0.0,17.63,24.86,8.19,54.49,12.203120948939096
1990-05-14,35.96,13.44,15.67,21.19,11.21,70.05,13.265667028895292
1990-05-21,35.98,3.36,12.86,18.23,7.31,66.03,14.2751409692068
1990-05-28,35.96,0.42,12.8,17.96,6.79,58.7,15.21692614597188
1990-06-04,35.96,18.05,14.49,20.33,8.69,66.37,16.077386031118586
1990-06-11,35.98,74.73,13.9,17.59,10.77,82.5,16.844061641783085
1990-06-18,36.0,3.49,14.97,18.53,10.84,71.92,17.505851939485673
1990-06-25,36.01,43.09,17.21,22.04,12.47,74.88,18.0531745670232
1990-07-02,35.98,16.34,19.31,23.99,15.51,71.62,18.478104595697488
1990-07-09,35.93,13.78,15.86,20.01,11.8,69.57,18.7744892738964
1990-07-16,35.9,4.57,16.31,21.39,10.79,62.86,18.93803711553148
1990-07-23,35.88,1.94,17.01,22.24,12.71,67.49,18.96638003838124
1990-07-30,35.87,1.34,18.84,24.57,13.03,69.83,18.85910765261091
1990-08-06,35.88,0.0,21.6,27.91,14.11,52.74,18.617773202990108
1990-08-13,35.91,13.46,17.64,23.13,13.06,73.9,18.245871078768268
1990-08-20,35.93,25.95,17.31,22.33,13.87,75.14,17.7487862168526
1990-08-27,35.9,1.52,16.73,22.27,11.44,68.3,17.13371613090216
1990-09-03,35.87,20.79,18.13,24.16,13.44,69.96,16.409566695314037
1990-09-10,35.87,28.93,12.84,16.2,10.49,83.18,15.586823193091549
1990-09-17,35.91,4.74,12.34,16.26,9.0,76.48,14.677398494750076
1990-09-24,35.92,17.76,11.01,14.79,8.79,75.12,13.694460566545835
1990-10-01,35.9,7.31,11.54,15.33,8.37,78.3,12.652241805613317
1990-10-08,35.87,3.37,11.64,15.53,8.47,79.87,11.565832962732197
1990-10-15,35.85,0.0,13.16,18.44,8.43,74.28,10.450964636609184
1990-10-22,35.83,0.1,10.54,15.33,6.96,80.3,9.323779503515714
1990-10-29,35.85,6.35,5.89,11.01,1.89,70.01,8.200598580270608
1990-11-05,35.88,9.38,5.84,8.91,3.03,83.31,7.097684904950659
1990-11-12,35.92,1.12,4.89,7.1,2.46,90.1,6.031008057100623
1990-11-19,35.94,23.92,7.56,9.11,6.36,88.4,5.016012927061011
1990-11-26,35.94,16.93,3.34,5.09,1.69,87.53,4.067396082504789
1990-12-03,35.93,7.93,1.74,4.07,-1.04,89.77,3.198892970272122
1990-12-10,35.95,27.68,-0.4,1.67,-2.67,84.81,2.4230790347030364
1990-12-17,35.98,15.17,0.53,1.76,-0.43,89.28,1.751187632163707
1990-12-24,35.99,9.9,0.47,2.17,-1.3,88.82,1.1929473782642577
1990-12-31,35.98,14.29,3.1,5.21,0.74,76.8,0.7564412828895595
1991-01-07,35.99,13.12,5.44,7.13,3.1,76.64,0.4479897126901271
1991-01-14,35.96,3.95,4.7,7.53,2.44,74.59,0.2720588756713962
1991-01-21,35.95,3.3,-1.44,2.34,-5.54,75.4,0.231196152973931
1991-01-28,35.99,0.06,1.71,2.69,0.6,87.72,0.3259932142044501
1991-02-04,36.06,0.07,-4.76,-1.33,-7.81,64.98,0.5550774503874614
1991-02-11,36.15,13.05,-5.83,-3.6,-8.36,81.39,0.915131848583462
1991-02-18,36.23,6.0,-3.0,-0.87,-5.8,85.33,1.4009430204003357
1991-02-25,36.3,5.24,1.97,6.73,-2.74,82.69,2.0054766889714832
1991-03-04,36.35,0.01,1.69,5.53,-1.21,76.69,2.719979541391484
1991-03-11,36.39,4.19,6.3,10.61,1.97,77.68,3.5341059718418077
1991-03-18,36.43,0.87,7.96,13.11,3.56,81.5,4.436067880236697
1991-03-25,36.43,33.17,7.89,11.34,4.57,79.54,5.412805357387638
1991-04-01,36.42,8.72,4.56,8.2,0.3,67.99,6.450175785259384
1991-04-08,36.4,10.49,10.09,14.73,5.27,71.75,7.533158614251365
1991-04-15,36.38,0.0,11.83,17.24,3.59,57.56,8.64607285244166
1991-04-22,36.37,12.66,3.16,7.73,-0.96,71.25,9.772804117670498
1991-04-29,36.38,3.08,7.91,12.31,2.27,70.5,10.897037964874508
1991-05-06,36.39,30.46,7.19,10.31,3.89,80.26,12.002496110220784
1991-05-13,36.41,8.96,10.3,13.56,5.89,74.89,13.073172131646972
1991-05-20,36.43,7.76,10.07,14.3,3.69,68.25,14.093563232992764
1991-05-27,36.44,5.06,11.19,14.69,6.79,66.26,15.048894715907403
1991-06-03,36.45,1.38,14.71,19.63,7.57,59.83,15.92533390930387
1991-06-10,36.46,3.27,14.24,18.49,8.19,64.32,16.710190458779728
1991-06-17,36.47,28.9,14.8,18.69,10.93,67.73,17.392100075924468
1991-06-24,36.48,28.23,16.19,20.86,11.11,72.41,17.961189086925707
1991-07-01,36.5,20.04,16.51,20.17,11.79,72.83,18.40921739790064
1991-07-08,36.52,0.07,23.57,28.66,15.07,57.24,18.72969780689452
1991-07-15,36.54,12.38,21.23,26.27,14.91,66.04,18.91798993497425
1991-07-22,36.55,8.03,17.06,20.96,13.47,71.86,18.97136741634681
1991-07-29,36.52,5.49,19.93,25.34,12.46,63.35,18.8890573746269
1991-08-05,36.49,8.89,21.84,26.23,16.7,70.34,18.672251613659192
1991-08-12,36.45,16.87,20.74,25.96,16.03,69.78,18.324089360858338
1991-08-19,36.41,6.65,16.7,21.7,11.76,70.15,17.849611812933546
1991-08-26,36.38,10.04,17.4,21.81,12.23,71.82,17.255689142150736
1991-09-02,36.36,1.14,17.1,22.84,11.24,71.78,16.550921020040647
1991-09-09,36.34,2.39,15.43,21.04,9.77,69.3,15.745512098915192
1991-09-16,36.31,10.69,14.26,21.26,7.7,69.95,14.851124254150337
1991-09-23,36.28,21.82,14.27,19.8,9.87,75.89,13.880707726685548
1991-09-30,36.25,7.51,15.27,19.77,11.27,75.04,12.848313610703327
1991-10-07,36.21,4.21,12.41,17.1,8.46,73.65,11.768890401562528
1991-10-14,36.18,6.55,13.41,19.23,9.26,79.56,10.658067549859902
