Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,31.28,0.0,-1.3,-0.0,-2.71,86.7,0.8463940175150171
1990-01-08,31.31,2.1,-1.06,0.17,-3.13,88.81,0.56155156319371
1990-01-15,31.33,1.58,4.07,5.81,2.21,89.29,0.4096870135829
1990-01-22,31.33,8.52,7.26,9.07,4.99,82.61,0.3929992385258938
1990-01-29,31.34,20.66,5.73,8.79,3.04,77.06,0.5117298628483713
1990-02-05,31.36,8.64,6.23,9.57,3.46,74.82,0.764159767835837
1990-02-12,31.38,10.05,6.09,10.09,2.59,72.89,1.146633982614265
1990-02-19,31.39,16.9,4.06,6.97,1.03,88.39,1.653614605027547
1990-02-26,31.4,11.64,9.94,15.19,4.97,70.21,2.2777609857626206
1990-03-05,31.43,14.9,4.0,6.66,1.5,81.83,3.010036014724191
1990-03-12,31.45,16.4,8.36,11.23,5.6,80.61,3.8398369707220095
1990-03-19,31.48,0.53,8.67,15.23,2.81,67.06,4.755149039878983
1990-03-26,31.49,3.45,8.87,12.53,5.39,72.99,5.742719279943185
1990-04-02,31.49,0.48,8.8,14.1,3.06,70.35,6.788248511648709
1990-04-09,31.48,0.58,5.14,11.0,-0.0,59.96,7.876598358700308
1990-04-16,31.47,10.67,8.0,13.24,2.87,68.21,8.992010438619593
1990-04-23,31.47,7.53,10.63,16.17,5.31,70.73,10.118334530754828
1990-04-30,31.45,9.52,10.21,14.26,6.57,72.07,11.239262417774455
1990-05-07,31.42,0.0,17.97,25.14,8.67,54.56,12.338564014819092
1990-05-14,31.38,6.02,15.66,21.09,10.89,70.25,13.400322367361625
1990-05-21,31.35,2.98,13.4,18.71,7.67,66.41,14.409164115205122
1990-05-28,31.32,0.7,13.01,18.36,6.67,59.88,15.350482085696711
1990-06-04,31.29,18.34,14.59,20.49,8.79,68.14,16.210646793195387
1990-06-11,31.27,59.12,14.07,17.41,10.69,82.2,16.977203782461665
1990-06-18,31.28,4.18,15.13,18.86,10.94,72.68,17.639053958603334
1990-06-25,31.33,41.52,17.44,22.11,12.79,75.33,18.186614292553717
1990-07-02,31.36,22.6,19.61,24.24,15.46,72.0,18.611956575202782
1990-07-09,31.37,12.89,16.04,20.27,11.89,69.87,18.908922211138982
1990-07-16,31.35,1.78,16.89,22.06,10.73,61.77,19.073211389886225
1990-07-23,31.33,0.5,17.24,22.64,12.43,66.51,19.102445343511803
1990-07-30,31.3,2.28,19.23,24.93,13.04,68.6,18.99620078916797
1990-08-06,31.26,0.0,22.04,28.59,14.59,52.86,18.756016057868543
1990-08-13,31.25,11.0,18.14,23.74,13.14,72.09,18.38536882076085
1990-08-20,31.26,27.83,17.3,22.4,14.14,75.78,17.889625735397743
1990-08-27,31.22,1.21,17.26,22.7,11.76,67.01,17.275964741089197
1990-09-03,31.18,21.43,18.41,24.27,13.8,69.51,16.553271128430502
1990-09-10,31.17,30.82,13.0,16.63,10.6,84.26,15.732008887832162
1990-09-17,31.17,8.12,12.63,16.64,9.26,76.0,14.82406919981619
1990-09-24,31.16,15.07,11.21,14.97,8.89,75.08,13.842598260809986
1990-10-01,31.16,9.28,11.89,15.79,8.44,79.11,12.801806937374506
1990-10-08,31.15,2.84,11.79,15.87,8.7,79.17,11.71676500491268
1990-10-15,31.14,0.0,13.31,18.7,8.29,75.45,10.60318295010585
1990-10-22,31.13,0.0,11.03,15.81,7.31,80.0,9.477184496394838
1990-10-29,31.12,6.87,6.31,11.44,1.79,69.99,8.355073146142875
1990-11-05,31.11,9.25,5.97,9.01,3.2,83.94,7.253096119752952
1990-11-12,31.11,1.54,5.46,7.53,2.77,89.21,6.187209109699587
1990-11-19,31.11,29.54,7.86,9.54,6.57,88.89,5.172845255637701
1990-11-26,31.12,17.42,3.53,5.29,1.54,88.32,4.224691685633573
1990-12-03,31.15,5.84,1.93,4.17,-1.01,89.57,3.356476859010081
1990-12-10,31.19,28.52,-0.27,1.81,-2.69,85.81,2.58077178990243
1990-12-17,31.23,15.52,0.59,1.74,-0.5,90.54,1.9088080296379653
1990-12-24,31.28,8.93,0.71,2.47,-1.26,89.63,1.3503150434015811
1990-12-31,31.32,14.2,3.33,5.56,0.76,79.46,0.9133793358337085
1991-01-07,31.42,13.78,5.47,7.39,2.79,78.06,0.604327365303309
1991-01-14,31.46,1.24,4.74,7.47,2.41,76.68,0.427633942157918
1991-01-21,31.48,3.56,-1.3,2.66,-5.11,77.9,0.3858574372659404
1991-01-28,31.47,0.29,1.56,2.51,0.41,90.14,0.4796027389769044
1991-02-04,31.47,0.0,-4.66,-1.1,-7.73,66.0,0.7075124948513292
1991-02-11,31.48,14.24,-5.77,-3.66,-8.39,82.38,1.0662867649725245
1991-02-18,31.47,7.92,-3.16,-0.93,-6.31,88.18,1.550730802277034
1991-02-25,31.46,6.7,1.9,6.97,-2.99,83.17,2.153830268085245
1991-03-04,31.47,0.0,1.8,5.79,-1.11,77.54,2.8668527937746493
1991-03-11,31.48,0.42,6.51,10.9,2.13,78.56,3.679474418069407
1991-03-18,31.5,2.53,8.34,13.64,3.91,80.47,4.5799290692414045
1991-03-25,31.52,34.92,7.94,11.33,5.0,80.92,5.555178927846795
1991-04-01,31.54,7.55,4.59,8.56,0.37,67.87,6.591103203290956
1991-04-08,31.55,12.63,9.83,14.91,5.41,72.99,7.672702590897073
