Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,38.14,0.45,-1.73,-0.31,-3.1,88.57,0.7010252024084327
1990-01-08,38.13,1.28,-1.41,-0.09,-3.27,87.34,0.4237106689926317
1990-01-15,38.13,2.33,3.84,5.53,2.17,89.53,0.2817305462939661
1990-01-22,38.11,5.25,7.19,9.21,4.93,80.82,0.277140472740248
1990-01-29,38.1,26.03,5.84,8.6,3.44,72.29,0.4100069050396673
1990-02-05,38.09,8.69,6.49,10.1,3.66,72.0,0.6784061559971022
1990-02-12,38.09,11.66,6.11,10.19,2.66,71.28,1.078452246337566
1990-02-19,38.08,15.83,3.89,6.77,1.19,84.5,1.6043531672885312
1990-02-26,38.07,10.26,10.14,15.47,5.59,68.58,2.248494739331268
1990-03-05,38.08,12.44,3.91,6.54,1.49,76.47,3.0015508529845327
1990-03-12,38.07,16.02,8.27,11.23,5.71,76.49,3.852618495516097
1990-03-19,38.07,0.15,8.84,15.44,2.89,64.26,4.789375608616599
1990-03-26,38.07,3.37,8.96,12.73,5.81,70.85,5.798259491517783
1990-04-02,38.07,0.0,8.8,14.06,3.63,70.19,6.864663166570551
1990-04-09,38.08,1.37,5.43,11.03,0.44,59.15,7.973146864232929
1990-04-16,38.06,8.09,8.3,13.69,3.1,67.11,9.107661565514224
1990-04-23,38.09,8.17,10.79,16.24,5.81,70.86,10.251781365347204
1990-04-30,38.1,10.86,10.14,14.34,6.9,72.88,11.388941292651152
1990-05-07,38.11,0.0,17.86,25.11,8.86,53.41,12.502677143841195
1990-05-14,38.11,16.13,15.97,21.5,11.59,69.56,13.576863857390176
1990-05-21,38.11,4.71,13.11,18.69,7.74,63.58,14.59594897817249
1990-05-28,38.09,0.34,13.16,18.51,7.5,56.51,15.545177831409308
1990-06-04,38.06,17.71,14.66,20.49,9.06,64.89,16.410807146067885
1990-06-11,38.06,119.36,14.09,17.83,11.01,81.39,17.180304034800255
1990-06-18,38.09,5.03,15.21,19.04,11.04,69.77,17.84252744951813
1990-06-25,38.1,27.96,17.61,22.57,12.87,72.5,18.387889485427472
1990-07-02,38.09,9.59,19.63,24.39,15.74,70.12,18.80849419810474
1990-07-09,38.08,17.03,16.11,20.53,12.04,68.69,19.098251923772565
1990-07-16,38.07,1.74,16.53,21.93,11.19,61.41,19.252967447605748
1990-07-23,38.07,3.13,17.06,22.53,12.84,66.15,19.270400743534942
1990-07-30,38.09,1.68,19.0,25.01,13.34,69.58,19.15029940613641
1990-08-06,38.07,0.89,21.94,28.5,14.79,51.59,18.894402305046903
1990-08-13,38.02,18.62,18.14,23.74,13.34,71.38,18.50641440899424
1990-08-20,38.04,30.5,17.74,22.91,14.13,73.54,17.991953143949605
1990-08-27,38.03,2.37,17.11,22.81,11.73,66.37,17.35846706204799
1990-09-03,38.01,14.62,18.46,24.93,13.63,68.75,16.615127998815947
1990-09-10,38.0,37.17,13.0,16.5,10.74,83.46,15.772698280093298
1990-09-17,37.99,3.14,12.63,16.69,9.29,76.04,14.843374901273696
1990-09-24,37.99,15.8,11.29,15.19,8.96,74.11,13.840612934891464
