Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,30.41,0.0,-1.31,-0.01,-2.71,86.95,0.8867638161401796
1990-01-08,30.42,1.89,-1.06,0.17,-3.16,89.03,0.6054614607938547
1990-01-15,30.43,1.26,4.13,5.89,2.23,89.39,0.4575393500353328
1990-01-22,30.43,8.26,7.27,9.1,5.03,82.77,0.4451392068505395
1990-01-29,30.45,20.36,5.76,8.83,3.03,77.32,0.5684405694542125
1990-02-05,30.47,8.42,6.27,9.66,3.44,74.77,0.8256581918062
1990-02-12,30.5,9.88,6.13,10.17,2.59,72.88,1.2130678916909918
1990-02-19,30.54,15.58,4.13,7.04,1.03,88.82,1.7250604721132312
1990-02-26,30.62,11.99,10.01,15.29,4.97,70.16,2.35422293529673
1990-03-05,30.69,15.77,4.03,6.66,1.53,82.34,3.091445813411691
1990-03-12,30.73,15.86,8.41,11.31,5.63,80.72,3.926055062018837
1990-03-19,30.76,0.41,8.74,15.31,2.84,67.14,4.845966606581632
1990-03-26,30.76,3.39,8.94,12.6,5.39,73.23,5.83786130441152
1990-04-02,30.74,0.45,8.9,14.17,3.09,70.52,6.887377788819984
1990-04-09,30.71,0.81,5.23,11.11,0.03,60.14,7.979320403341531
1990-04-16,30.72,9.16,8.09,13.37,2.89,68.26,9.097879215405298
1990-04-23,30.7,8.26,10.74,16.33,5.33,70.94,10.226858923939709
1990-04-30,30.66,9.19,10.26,14.26,6.59,72.58,11.349913346619532
1990-05-07,30.61,0.0,18.11,25.29,8.74,54.06,12.450782091680916
1990-05-14,30.56,6.68,15.7,21.17,10.86,70.35,13.51352598759843
1990-05-21,30.49,2.73,13.51,18.87,7.79,65.8,14.522757861904484
1990-05-28,30.47,0.46,13.14,18.49,6.87,59.55,15.463865327767795
1990-06-04,30.48,18.55,14.64,20.53,8.89,68.37,16.323222352666725
1990-06-11,30.56,53.4,14.11,17.43,10.7,82.01,17.08838654591416
1990-06-18,30.65,4.24,15.26,18.99,11.03,72.08,17.748279308561866
1990-06-25,30.69,37.33,17.53,22.23,12.89,74.68,18.293346237344863
1990-07-02,30.71,24.46,19.74,24.34,15.56,71.57,18.71569546022147
1990-07-09,30.64,13.16,16.13,20.41,11.93,69.74,19.009211900587708
1990-07-16,30.52,1.24,17.06,22.21,10.77,61.37,19.169645815765826
1990-07-23,30.36,0.36,17.34,22.74,12.47,65.87,19.194674327843288
1990-07-30,30.28,1.64,19.39,25.13,13.11,68.14,19.083935055974223
1990-08-06,30.22,0.0,22.17,28.74,14.7,52.51,18.839031363190628
1990-08-13,30.14,13.3,18.29,23.94,13.21,71.44,18.463509141756205
1990-08-20,30.18,26.58,17.37,22.47,14.23,75.19,17.962805473181184
1990-08-27,30.22,1.08,17.34,22.81,11.83,66.69,17.344169906235695
1990-09-03,30.24,19.79,18.53,24.34,13.87,69.27,16.616559492754853
1990-09-10,30.25,27.55,13.1,16.69,10.66,84.24,15.790509100983485
1990-09-17,30.27,6.81,12.69,16.7,9.3,75.89,14.87797888415693
1990-09-24,30.28,15.05,11.3,15.0,8.97,74.96,13.892181112778273
1990-10-01,30.27,8.42,11.97,15.89,8.49,78.99,12.847388877838329
1990-10-08,30.25,2.53,11.81,15.93,8.71,78.93,11.758729434712146
1990-10-15,30.23,0.0,13.34,18.76,8.27,75.39,10.641965179847634
1990-10-22,30.21,0.0,11.06,15.9,7.31,79.95,9.513265431423187
1990-10-29,30.22,7.18,6.33,11.49,1.74,70.06,8.388972318299686
1990-11-05,30.24,10.41,6.01,9.03,3.2,83.92,7.285364166894443
1990-11-12,30.27,1.79,5.47,7.56,2.77,89.14,6.218419811833318
1990-11-19,30.37,27.23,7.86,9.54,6.59,88.92,5.203587242860319
1990-11-26,30.44,18.43,3.53,5.31,1.5,88.42,4.2555599377028255
1990-12-03,30.44,6.58,1.96,4.23,-0.97,89.62,3.388064119305501
1990-12-10,30.46,29.44,-0.29,1.83,-2.71,85.98,2.613660017676751
1990-12-17,30.59,15.3,0.6,1.69,-0.51,90.74,1.94356001382119
1990-12-24,30.69,8.55,0.76,2.5,-1.23,89.79,1.3874662988024475
1990-12-31,30.72,13.64,3.36,5.63,0.76,79.51,0.9534303984246382
1991-01-07,30.75,16.26,5.51,7.43,2.77,78.04,0.6477365974359248
1991-01-14,30.77,2.31,4.79,7.51,2.44,76.57,0.4748109511221958
1991-01-21,30.74,3.32,-1.31,2.69,-5.11,77.99,0.4371572016871301
1991-01-28,30.71,0.21,1.59,2.51,0.41,90.33,0.5353205272671033
1991-02-04,30.68,0.13,-4.66,-1.11,-7.71,65.9,0.7678796484489734
1991-02-11,30.65,14.34,-5.73,-3.61,-8.3,82.23,1.1314674065783414
1991-02-18,30.62,6.93,-3.1,-0.9,-6.26,88.13,1.620819515910588
1991-02-25,30.64,6.58,2.0,7.06,-2.94,82.84,2.228850783735986
1991-03-04,30.76,0.08,1.83,5.81,-1.11,77.44,2.946757694908725
1991-03-11,30.89,1.52,6.61,11.01,2.2,78.23,3.7641458754876034
1991-03-18,30.95,1.26,8.41,13.77,4.01,80.02,4.669180589977231
1991-03-25,31.01,34.5,8.04,11.37,5.04,80.69,5.64875809316235
