Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,43.38,0.02,-1.74,-0.11,-3.39,85.31,0.535595157867041
1990-01-08,43.36,2.26,-1.84,-0.2,-4.03,84.0,0.2569158390307411
1990-01-15,43.37,1.84,3.3,5.04,1.36,89.91,0.1143576980300462
1990-01-22,43.4,3.85,6.9,8.99,4.5,80.52,0.1099848703424566
1990-01-29,43.39,13.93,5.61,8.74,2.96,73.39,0.2438606712490472
1990-02-05,43.37,1.84,6.01,10.36,2.69,73.64,0.51404667907644
1990-02-12,43.36,12.22,5.7,10.47,2.13,72.79,0.916630802095792
1990-02-19,43.39,17.84,3.89,7.1,0.87,84.22,1.445783922691103
1990-02-26,43.42,8.44,9.84,15.6,4.7,68.71,2.0938442986314785
1990-03-05,43.44,22.33,3.91,6.63,1.44,76.38,2.851428499379974
1990-03-12,43.46,14.1,8.31,11.49,5.74,76.03,3.7075672711640655
1990-03-19,43.44,0.0,8.61,15.5,2.36,64.8,4.649864363582912
1990-03-26,43.41,3.6,8.84,13.04,5.41,71.36,5.664676018060712
1990-04-02,43.39,0.57,9.0,13.97,3.77,70.54,6.73730851928729
1990-04-09,43.36,3.64,5.5,11.07,0.56,59.68,7.852230949248532
1990-04-16,43.33,6.54,8.1,13.56,2.81,66.74,8.993300063327151
1990-04-23,43.28,7.16,10.87,16.21,5.89,69.38,10.143994032435298
1990-04-30,43.26,5.01,10.04,13.96,7.03,72.89,11.287651666768406
1990-05-07,43.24,0.0,18.01,24.91,9.19,50.2,12.407713657397524
1990-05-14,43.22,23.85,16.09,21.96,11.44,67.8,13.48796234270295
1990-05-21,43.21,3.19,13.46,19.2,7.77,61.62,14.512756528009763
1990-05-28,43.22,0.0,13.67,18.96,8.13,53.38,15.467257958412262
1990-06-04,43.23,21.13,14.77,20.79,9.1,62.92,16.33764616562985
1990-06-11,43.25,85.64,14.06,17.77,11.09,80.15,17.111318578072265
1990-06-18,43.27,2.41,15.63,19.76,11.51,69.11,17.77707299666976
1990-06-25,43.28,19.41,17.76,22.74,13.11,71.39,18.32526979435439
1990-07-02,43.28,24.48,20.0,24.71,15.71,69.01,18.74797149066505
1990-07-09,43.27,18.78,16.29,20.74,12.41,68.57,19.039057680540065
1990-07-16,43.25,2.06,16.81,22.23,11.1,60.83,19.19431365321425
1990-07-23,43.24,0.21,17.14,22.6,12.66,64.76,19.211491418085025
1990-07-30,43.23,0.11,19.26,25.37,13.33,66.22,19.090342253938367
1990-08-06,43.22,2.45,22.37,29.2,14.96,49.69,18.832620310246448
1990-08-13,43.2,23.24,18.47,24.43,13.4,67.51,18.442057208392487
1990-08-20,43.19,32.78,17.86,23.3,14.31,70.84,17.9243080105784
1990-08-27,43.19,3.28,17.5,23.26,11.86,64.41,17.286869338745007
1990-09-03,43.19,25.51,18.9,25.47,13.84,66.42,16.53897082908172
1990-09-10,43.18,29.56,13.16,16.74,10.83,81.46,15.691441493783469
1990-09-17,43.18,2.18,12.77,16.87,9.4,74.36,14.75655292503679
1990-09-24,43.17,12.46,11.37,15.44,8.84,73.62,13.747841611524372
1990-10-01,43.16,4.49,12.09,16.04,8.41,77.43,12.67991294017245
1990-10-08,43.16,0.54,11.83,16.5,8.54,77.9,11.568229721049452
1990-10-15,43.15,0.0,12.61,18.89,7.24,74.91,10.428888297417515
