Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,39.11,0.15,-1.61,-0.11,-3.13,87.16,0.7961595474087986
1990-01-08,39.1,1.71,-1.46,-0.06,-3.57,87.96,0.5206960270513559
1990-01-15,39.08,1.23,3.74,5.54,1.83,90.49,0.3800798194716748
1990-01-22,39.08,5.92,7.0,8.91,4.61,83.15,0.3763470186404678
1990-01-29,39.07,17.78,5.6,8.61,2.83,76.97,0.5095516747514992
1990-02-05,39.04,1.73,6.2,10.13,3.16,74.07,0.7777650115858243
1990-02-12,39.03,9.3,5.86,10.4,2.16,73.69,1.177103354797568
1990-02-19,39.03,15.04,3.97,7.19,1.03,87.3,1.7017843667253825
1990-02-26,39.05,6.63,10.03,15.73,5.1,70.45,2.344210773460965
1990-03-05,39.08,29.03,3.97,6.66,1.46,79.48,3.095080371823829
1990-03-12,39.11,11.44,8.39,11.51,5.61,78.35,3.943520723363765
1990-03-19,39.15,0.12,8.96,15.84,2.83,64.93,4.877246585049354
1990-03-26,39.14,4.04,8.94,12.9,5.31,72.28,5.882737797078308
1990-04-02,39.1,0.0,9.06,14.24,3.79,70.39,6.9454350520304775
1990-04-09,39.09,1.55,5.47,11.3,0.51,59.82,8.04995071066615
1990-04-16,39.07,8.5,8.2,13.76,3.01,67.78,9.18029161179996
1990-04-23,39.06,10.83,10.74,16.49,5.73,71.18,10.320090650008908
1990-04-30,39.05,4.46,10.13,14.26,6.77,73.16,11.452843767976576
1990-05-07,39.05,0.0,18.23,25.46,9.6,51.86,12.562148931872803
1990-05-14,39.04,4.69,15.69,21.46,11.23,71.27,13.631943629454115
1990-05-21,39.02,5.66,13.41,19.24,8.19,64.19,14.646737451960888
1990-05-28,39.04,0.0,13.29,18.77,7.63,57.19,15.591836392072924
1990-06-04,39.06,15.12,14.54,20.67,9.27,66.64,16.4535556101348
1990-06-11,39.06,73.19,13.77,17.11,10.7,83.12,17.219417587839523
1990-06-18,39.09,2.84,15.31,19.44,11.19,70.72,17.878332800145586
1990-06-25,39.1,34.75,17.49,22.57,12.93,73.15,18.420760289335
1990-07-02,39.07,16.04,19.69,24.41,15.59,70.55,18.83884581613272
1990-07-09,39.03,12.52,15.97,20.54,12.11,68.87,19.126535587487357
1990-07-16,39.03,1.8,16.9,22.41,11.2,59.37,19.279663914258464
1990-07-23,39.03,0.0,17.16,22.67,12.66,64.14,19.296013529544545
1990-07-30,39.03,0.7,19.3,25.39,13.43,65.43,19.175347694254977
1990-08-06,39.03,0.16,22.23,29.1,15.41,47.98,18.91941362504375
