Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,49.29,0.04,-1.76,-0.23,-3.11,85.2,0.6322913393349623
1990-01-08,49.23,1.28,-1.77,-0.14,-3.77,85.48,0.3493954447863423
1990-01-15,49.25,1.3,3.31,5.14,1.47,88.65,0.2016001245032921
1990-01-22,49.28,4.08,6.71,8.71,4.51,81.29,0.1910454885845656
1990-01-29,49.31,16.56,5.5,8.79,2.84,73.87,0.3178843705763974
1990-02-05,49.29,1.48,6.01,10.04,3.01,74.44,0.5802801144078131
1990-02-12,49.26,10.44,5.76,10.29,2.24,73.6,0.9744331695912384
1990-02-19,49.25,12.58,3.87,7.07,1.04,85.31,1.494636109584203
1990-02-26,49.26,10.41,9.89,15.6,5.23,70.08,2.1333562766331324
1990-03-05,49.29,16.12,3.84,6.59,1.39,78.06,2.881344856383468
1990-03-12,49.28,11.12,8.27,11.39,5.73,77.11,3.7277708028306327
1990-03-19,49.25,0.05,8.7,15.59,2.56,65.16,4.660377674347353
1990-03-26,49.21,2.89,8.8,12.99,5.36,71.68,5.665661109766844
1990-04-02,49.18,0.0,8.79,14.04,3.63,70.25,6.729064374626095
1990-04-09,49.13,2.75,5.29,10.93,0.5,60.81,7.835189146016101
1990-04-16,49.1,9.81,7.73,13.1,2.8,68.45,8.968018483825663
1990-04-23,49.11,9.3,10.41,16.0,5.46,71.32,10.111148759703347
1990-04-30,49.09,4.73,9.79,13.94,6.46,73.95,11.248027185354736
1990-05-07,49.06,0.0,17.89,25.01,9.4,52.06,12.36219150070883
1990-05-14,49.03,24.04,15.26,21.2,10.44,71.27,13.437508351215724
1990-05-21,48.99,2.34,13.29,19.19,7.87,63.95,14.458406902516924
1990-05-28,48.94,0.0,13.09,18.81,7.37,56.55,15.410104309693851
1990-06-04,48.92,14.46,14.51,20.7,9.1,64.98,16.278819776249577
1990-06-11,49.04,84.56,13.69,17.21,10.64,81.14,17.051974103198997
1990-06-18,49.23,2.47,15.14,19.43,11.1,71.27,17.718371838752304
1990-06-25,49.24,38.8,17.43,22.56,12.99,72.13,18.26836339102197
1990-07-02,49.18,15.64,19.7,24.56,15.51,70.19,18.69398475632383
1990-07-09,49.13,15.08,15.79,20.43,12.01,69.88,18.98907283977525
1990-07-16,49.08,1.1,16.73,22.49,10.99,60.52,19.149354698320924
1990-07-23,49.0,0.0,16.7,22.4,12.06,65.96,19.1725094139273
1990-07-30,48.97,0.41,19.16,25.39,13.47,65.61,19.05820170100749
1990-08-06,48.95,0.19,22.14,29.27,15.16,49.16,18.808086761433348
1990-08-13,48.92,10.56,18.24,24.66,13.03,69.15,18.42578631683311
1990-08-20,48.9,17.42,17.21,22.4,13.91,74.0,17.91683616523255
1990-08-27,48.92,4.14,17.14,22.99,11.79,68.53,17.288606021431228
1990-09-03,48.95,19.32,18.56,24.86,14.13,71.26,16.55019280184362
1990-09-10,49.02,28.22,12.83,16.54,10.57,85.87,15.71228889906553
1990-09-17,49.03,4.11,12.39,16.51,9.16,78.75,14.787027353579244
1990-09-24,49.03,7.97,11.17,15.14,8.73,76.12,13.787806164547908
1990-10-01,49.01,4.38,11.73,15.86,8.29,80.05,12.729094283717938
1990-10-08,49.0,1.36,11.71,16.14,8.36,79.6,11.626222101682574
1990-10-15,48.99,0.0,12.63,18.54,7.71,76.97,10.495159460314223
1990-10-22,48.93,1.52,11.23,16.2,7.69,78.91,9.352284405794828
1990-10-29,48.94,5.32,6.01,11.44,1.84,72.14,8.214146030755261
1990-11-05,48.95,2.83,5.87,8.73,3.41,84.0,7.097224839622321
1990-11-12,48.96,4.81,5.57,7.86,3.11,88.24,6.017694107138626
1990-11-19,48.98,24.83,7.63,9.54,6.09,87.25,4.991185685639369
1990-11-26,49.03,16.5,3.23,5.29,1.34,87.76,4.032563652248628
1990-12-03,49.07,6.39,1.7,3.93,-1.01,89.75,3.1557090736375653
1990-12-10,49.11,24.49,-0.69,1.5,-2.93,85.58,2.3733190049985664
1990-12-17,49.2,14.04,0.37,1.44,-0.64,91.45,1.6967226337769512
1990-12-24,49.26,7.07,0.69,2.53,-1.09,89.99,1.1357172304414611
1990-12-31,49.25,15.47,3.04,5.5,0.54,78.08,0.6984262817629361
1991-01-07,49.22,11.14,5.51,7.64,2.71,78.63,0.3911818608649611
1991-01-14,49.19,3.45,4.8,7.69,2.27,76.45,0.21843293735418
1991-01-21,49.17,5.32,-1.34,2.76,-5.49,73.42,0.1826809552210999
1991-01-28,49.15,0.42,1.36,2.4,0.26,90.04,0.2844436113580624
1991-02-04,49.13,0.0,-4.97,-1.34,-8.2,66.87,0.5222473591896204
1991-02-11,49.09,14.98,-6.04,-3.7,-8.54,82.33,0.8926487459645198
1991-02-18,49.06,7.36,-3.03,-0.71,-5.63,85.83,1.3902842747404556
1991-02-25,49.09,3.55,2.93,7.67,-1.6,81.62,2.0079480690487195
1991-03-04,49.12,0.18,1.87,6.26,-1.3,76.99,2.7366962156361847
1991-03-11,49.1,1.2,7.01,11.51,2.77,79.32,3.565976274378605
1991-03-18,49.12,1.07,9.14,15.07,4.16,78.85,4.48378008003098
1991-03-25,49.14,21.97,8.43,11.9,5.2,79.87,5.4768176232115655
1991-04-01,49.1,4.92,4.61,8.19,0.79,66.35,6.530709492782769
1991-04-08,49.08,7.38,10.01,15.16,5.39,70.94,7.630195093018433
1991-04-15,49.06,0.0,11.56,17.73,4.44,55.26,8.759353620526753
1991-04-22,49.03,19.11,2.77,7.51,-1.24,73.0,9.90183460113054
1991-04-29,49.01,5.09,7.63,12.41,2.46,72.04,11.041094648479495
1991-05-06,49.02,21.39,7.36,10.97,4.03,79.99,12.160637016075
1991-05-13,49.01,15.05,10.3,14.26,6.01,74.89,13.244250473938465
1991-05-20,49.0,11.5,9.77,14.46,3.81,70.3,14.276244050936064
1991-05-27,48.99,8.42,10.83,15.29,6.76,70.28,15.241674243635227
1991-06-03,48.97,4.19,14.26,20.09,7.63,59.79,16.126561401658222
1991-06-10,48.96,5.22,13.51,18.51,7.83,65.82,16.9180921562226
1991-06-17,48.96,26.02,14.64,18.96,10.96,67.7,17.604804960656452
1991-06-24,48.96,18.08,16.01,21.2,11.06,71.86,18.176756056220533
1991-07-01,49.0,16.16,16.07,20.51,11.57,75.62,18.62566346001268
1991-07-08,48.98,0.21,23.71,29.59,16.09,54.48,18.945026889977875
1991-07-15,48.94,2.28,21.74,27.19,15.47,64.64,19.130221890481664
1991-07-22,48.91,0.29,17.49,22.06,13.2,66.18,19.17856679548714
1991-07-29,48.9,9.92,19.79,26.26,12.56,62.67,19.08936155969365
1991-08-05,48.89,11.62,21.63,26.31,16.94,71.98,18.86389789535308
1991-08-12,48.87,5.42,21.46,27.06,16.31,66.89,18.50544056798053
1991-08-19,48.84,5.34,17.57,22.96,11.9,65.96,18.019180121801632
1991-08-26,48.83,4.64,17.44,22.8,11.94,69.22,17.412157719483073
1991-09-02,48.83,0.08,16.9,23.09,10.79,68.73,16.693163184483804
1991-09-09,48.84,0.76,15.7,21.51,10.49,65.1,15.872607722397769
1991-09-16,48.83,5.66,15.2,22.37,8.07,63.07,14.962373164311526
1991-09-23,48.83,2.1,14.74,20.57,10.16,73.27,13.97563991516772
1991-09-30,48.83,5.72,15.71,20.5,11.39,71.97,12.926696098482164
1991-10-07,48.84,3.16,12.89,18.23,7.97,72.22,11.83073066104135
1991-10-14,48.83,8.34,14.41,20.11,9.59,74.89,10.7036134334735
1991-10-21,48.83,6.4,8.14,13.07,4.31,74.07,9.561665331465
1991-10-28,48.82,1.8,4.31,8.94,-0.41,75.49,8.421422025161794
1991-11-04,48.81,6.59,5.07,9.29,1.13,74.05,7.299394498877703
1991-11-11,48.85,37.0,5.6,8.26,3.06,84.71,6.211829968258231
1991-11-18,48.93,1.49,4.99,7.5,2.64,81.72,5.174476616876123
1991-11-25,48.99,7.12,2.36,4.59,-0.4,87.22,4.202355558924994
