Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,91.9,0.04,-2.04,-0.43,-3.34,84.06,0.4227198479710132
1990-01-08,91.9,1.2,-2.17,-0.36,-4.23,84.9,0.1326448758700955
1990-01-15,91.9,2.0,2.56,4.59,0.84,87.89,-0.0221705767099269
1990-01-22,91.91,10.96,6.11,8.3,3.97,81.27,-0.0394846222458298
1990-01-29,91.93,18.88,5.24,8.93,2.59,73.24,0.0809534645098626
1990-02-05,91.95,2.17,5.69,9.67,2.79,74.66,0.3373996157686054
1990-02-12,91.96,10.6,5.56,9.99,2.13,71.52,0.7261402266072192
1990-02-19,91.95,20.24,3.61,6.77,0.86,85.11,1.2415459317997095
1990-02-26,91.96,10.66,9.71,15.4,5.11,69.41,1.876153124835243
1990-03-05,91.96,22.94,3.5,6.41,1.01,78.67,2.6207720386427376
1990-03-12,91.96,11.39,8.0,11.17,5.41,77.35,3.4646198229021863
1990-03-19,91.96,0.12,8.51,15.29,2.49,64.84,4.395476690844868
1990-03-26,91.96,5.0,8.44,12.91,5.04,71.97,5.399862874376925
1990-04-02,91.95,0.0,8.34,13.89,3.19,70.72,6.463233825032394
1990-04-09,91.95,1.45,4.97,10.4,0.24,61.72,7.570190834044777
1990-04-16,91.96,14.01,7.11,12.36,2.49,68.92,8.70470402154186
1990-04-23,91.96,11.34,9.69,15.33,4.94,72.73,9.850344465748943
1990-04-30,91.95,7.5,9.37,13.61,6.0,73.97,10.99052211073062
1990-05-07,91.95,0.0,17.61,24.57,9.67,51.35,12.108726007522083
1990-05-14,91.94,5.7,14.93,21.19,9.8,69.14,13.18876340970927
1990-05-21,91.94,1.53,13.2,19.17,7.71,62.97,14.214994261107693
1990-05-28,91.94,0.0,12.81,18.77,7.13,55.69,15.172557679916986
1990-06-04,91.94,10.92,14.3,20.46,8.94,62.26,16.047587159625387
1990-06-11,91.94,78.98,13.24,17.06,10.09,79.77,16.827411370334655
1990-06-18,91.94,2.31,14.61,19.04,10.74,72.28,17.50073765269366
1990-06-25,91.94,20.52,17.1,22.33,12.71,70.71,18.05781554725974
1990-07-02,91.93,17.69,19.49,24.56,15.26,69.41,18.490577991214156
1990-07-09,91.93,12.95,15.4,20.1,11.66,70.3,18.79275813775677
1990-07-16,91.93,4.26,16.37,22.49,10.59,61.02,18.959980106515125
1990-07-23,91.93,0.17,16.3,22.34,11.46,66.09,18.98982235080822
1990-07-30,91.92,0.78,19.03,25.5,13.31,64.33,18.881852724141435
1990-08-06,91.91,0.59,22.2,29.53,15.19,48.3,18.637634738133773
1990-08-13,91.91,10.77,18.09,25.07,12.63,66.26,18.26070492125604
1990-08-20,91.91,20.5,17.1,22.43,13.73,72.44,17.756521606248953
1990-08-27,91.91,7.64,16.99,22.96,11.56,68.01,17.132385887831973
1990-09-03,91.91,27.08,18.34,24.94,14.0,70.99,16.397335895316992
1990-09-10,91.91,33.04,12.39,16.33,10.17,85.49,15.562015911168732
1990-09-17,91.91,5.41,11.91,16.31,8.51,78.91,14.638522230809404
1990-09-24,91.91,9.14,10.9,15.27,8.24,75.81,13.640227995777988
1990-10-01,91.91,5.35,11.41,15.63,7.93,80.02,12.581589536839264
1990-10-08,91.91,1.67,11.46,16.07,8.1,79.88,11.477937031395545
1990-10-15,91.91,0.0,12.2,18.4,7.21,77.29,10.345252506697308
1990-10-22,91.9,0.57,11.03,16.09,7.37,79.05,9.19993840359474
1990-10-29,91.9,8.36,5.77,11.37,1.56,71.77,8.058580052267073
1990-11-05,91.9,4.9,5.61,8.44,3.26,83.24,6.937705499525695
1990-11-12,91.9,3.3,5.34,7.79,2.97,87.94,5.853546165638942
1990-11-19,91.89,27.68,7.37,9.5,5.61,85.36,4.821801796615969
1990-11-26,91.89,17.74,2.91,5.36,0.96,86.33,3.857413115682535
1990-12-03,91.9,5.7,1.09,3.64,-1.49,89.8,2.9743454661894315
1990-12-10,91.9,17.42,-1.16,1.27,-3.3,85.37,2.185386579028946
1990-12-17,91.9,21.04,-0.14,1.04,-1.13,90.95,1.5019613930942084
1990-12-24,91.9,9.02,0.4,2.3,-1.43,89.72,0.9339666103736396
1990-12-31,91.9,17.47,2.77,5.2,0.47,78.33,0.4896273814928129
1991-01-07,91.91,11.93,5.13,7.44,2.59,78.15,0.175378197044834
1991-01-14,91.91,4.53,4.49,7.4,2.11,75.91,-0.0042302904737319
1991-01-21,91.91,3.48,-1.47,2.69,-5.64,70.7,-0.0465971648072862
1991-01-28,91.91,0.52,0.81,1.83,-0.29,89.54,0.0488910901072099
1991-02-04,91.91,0.07,-5.39,-1.57,-8.67,66.92,0.2808517057945199
1991-02-11,91.91,14.25,-6.66,-4.21,-9.14,82.35,0.6459256531556896
1991-02-18,91.91,9.3,-3.56,-1.14,-6.33,85.18,1.1388262846759414
1991-02-25,91.91,2.38,2.9,7.41,-1.79,80.03,1.752415890536397
1991-03-04,91.91,1.36,1.7,6.21,-1.57,76.94,2.4778090600185614
1991-03-11,91.92,0.51,7.0,11.49,2.79,79.17,3.3045013514212265
1991-03-18,91.92,0.78,9.06,15.13,3.97,77.67,4.220521407216742
1991-03-25,91.92,26.07,8.21,11.8,5.0,80.64,5.212604311662823
1991-04-01,91.92,4.34,3.93,7.5,0.17,67.3,6.266383680471493
1991-04-08,91.92,9.78,9.74,14.6,5.17,69.62,7.36659970088011
1991-04-15,91.92,0.0,11.14,17.07,4.21,55.67,8.497320109488163
1991-04-22,91.91,15.98,2.3,6.94,-1.69,73.35,9.64217090787322
1991-04-29,91.91,5.75,7.11,11.94,2.0,72.61,10.784573474986493
1991-05-06,91.91,16.21,7.2,10.93,3.64,79.04,11.907984642694585
