Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,56.94,1.07,-1.91,-0.64,-2.99,86.75,0.3195481557405006
1990-01-08,56.96,1.37,-1.29,-0.16,-2.94,88.27,0.0179484508888077
1990-01-15,56.98,2.7,3.57,5.26,1.89,89.91,-0.1523053602681923
1990-01-22,56.99,7.67,6.76,8.34,4.69,81.85,-0.1887477219626774
1990-01-29,57.0,22.61,5.11,8.1,2.7,76.17,-0.0908508887394461
1990-02-05,56.99,5.0,5.57,9.11,2.9,77.41,0.1399674319201533
1990-02-12,56.98,13.15,5.16,9.19,1.97,76.48,0.5003646103390036
1990-02-19,56.99,14.1,3.11,6.0,0.41,87.6,0.9851215014305784
1990-02-26,57.0,10.65,9.03,14.46,4.66,72.39,1.5872180265211968
1990-03-05,57.01,19.22,3.6,6.13,1.34,80.23,2.2979348356584355
1990-03-12,57.03,19.02,7.49,9.8,5.39,80.84,3.10697957816798
1990-03-19,57.05,0.89,7.4,14.46,1.46,71.13,4.002635952853672
1990-03-26,57.07,3.17,8.09,11.99,5.04,73.36,4.971933379347472
1990-04-02,57.08,0.4,7.61,13.46,2.34,71.73,6.000834833488803
1990-04-09,57.09,2.73,4.26,9.94,-0.74,62.28,7.0744401265680965
1990-04-16,57.1,10.58,7.1,12.29,1.91,70.91,8.177201684614996
1990-04-23,57.09,10.04,9.8,14.97,4.76,70.96,9.293149702892014
1990-04-30,57.08,6.83,9.89,14.03,6.64,70.74,10.40612341498613
1990-05-07,57.07,0.0,16.63,23.94,7.87,60.39,11.500005127339575
1990-05-14,57.05,11.28,15.07,20.73,10.6,73.49,12.558953630014702
1990-05-21,57.03,4.11,12.44,17.6,6.87,70.34,13.567633603520935
1990-05-28,57.01,0.68,12.21,17.29,5.9,64.46,14.511437699513776
1990-06-04,56.98,17.34,13.99,20.09,8.11,69.07,15.376698079271913
1990-06-11,56.94,64.69,13.64,17.3,10.51,85.91,16.150884346527157
1990-06-18,56.94,0.16,14.29,17.81,10.16,76.48,16.822785008252616
1990-06-25,56.97,24.34,16.44,21.26,11.56,81.2,17.382669835558428
1990-07-02,56.99,13.5,18.61,23.46,14.8,75.37,17.822430773441972
1990-07-09,56.91,10.87,15.23,19.29,11.19,73.68,18.13569935878634
1990-07-16,56.84,2.93,15.79,20.81,10.56,66.29,18.317938946201807
1990-07-23,56.87,3.83,16.73,21.63,12.83,71.31,18.366510406127507
1990-07-30,56.89,5.25,17.9,23.41,12.57,73.59,18.2807103437768
1990-08-06,56.9,0.2,20.56,27.11,13.27,58.08,18.061781285453044
1990-08-13,56.9,24.1,16.83,21.86,12.51,80.02,17.71289368472095
1990-08-20,56.89,25.14,16.56,21.44,12.99,81.82,17.239100009014088
1990-08-27,56.87,0.64,16.11,21.67,11.04,72.96,16.64726157157973
1990-09-03,56.86,19.18,17.46,23.36,12.94,74.61,15.945949168355469
1990-09-10,56.84,33.07,12.33,15.59,9.8,87.38,15.145318958719322
1990-09-17,56.83,3.39,11.86,15.71,8.46,81.38,14.25696538756409
1990-09-24,56.82,24.01,10.54,14.07,8.29,79.93,13.293753278627502
1990-10-01,56.82,8.89,10.93,14.43,7.96,82.16,12.26963153064316
1990-10-08,56.76,6.27,10.97,14.69,8.1,84.88,11.199431114298411
1990-10-15,56.71,0.0,12.36,17.64,7.94,79.77,10.098650295337183
1990-10-22,56.72,0.19,10.09,14.7,6.5,85.09,8.983230194130696
1990-10-29,56.73,9.03,5.37,10.56,1.66,74.17,7.869323931982768
1990-11-05,56.73,9.5,5.16,8.4,2.5,89.09,6.7730627073128105
1990-11-12,56.73,2.38,4.5,6.57,2.09,93.86,5.710322189318312
1990-11-19,56.74,29.96,7.23,8.63,6.14,91.97,4.696492612120995
1990-11-26,56.74,20.76,2.76,4.47,1.14,90.56,3.7462558988134775
1990-12-03,56.75,7.88,1.73,4.04,-0.93,90.73,2.873373043016892
1990-12-10,56.76,17.89,-0.4,1.84,-2.53,87.54,2.0904848270144782
