Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,51.81,0.09,-2.0,-0.66,-3.11,86.97,0.3255669105221415
1990-01-08,51.86,1.48,-1.41,-0.2,-3.07,87.96,0.0315552189249395
1990-01-15,51.92,4.26,3.49,5.16,1.86,89.78,-0.1301898490118738
1990-01-22,51.97,8.64,6.7,8.41,4.57,81.53,-0.1573261632424465
1990-01-29,51.97,25.1,5.21,8.11,2.81,74.71,-0.0494607796250932
1990-02-05,51.99,5.44,5.79,9.26,3.14,75.28,0.1918443700972361
1990-02-12,52.02,13.53,5.36,9.33,2.04,74.85,0.5630950956620904
1990-02-19,52.05,17.76,3.19,6.04,0.53,86.56,1.058915545490308
1990-02-26,52.08,13.52,9.3,14.79,4.77,70.86,1.6721260510596272
1990-03-05,52.09,17.79,3.57,6.06,1.27,78.44,2.39384709123327
1990-03-12,52.1,21.5,7.59,10.13,5.36,79.19,3.213627871099946
1990-03-19,52.09,1.97,7.6,14.73,1.54,68.97,4.1195976534555525
1990-03-26,52.11,4.03,8.17,12.09,5.1,72.69,5.098637651588595
1990-04-02,52.16,1.64,7.81,13.54,2.47,71.18,6.136570994297064
1990-04-09,52.14,5.62,4.41,10.0,-0.56,61.67,7.218368012370225
1990-04-16,52.14,14.21,7.36,12.6,2.03,69.7,8.328363873910186
1990-04-23,52.15,9.35,9.9,15.13,4.83,71.05,9.45048541705021
1990-04-30,52.12,9.37,9.83,14.01,6.63,71.09,10.5684838954465
1990-05-07,52.11,0.0,16.76,24.11,7.64,58.85,11.66617026629929
1990-05-14,52.1,10.62,15.19,20.83,10.67,72.89,12.727649613844584
1990-05-21,52.07,3.84,12.41,17.66,6.89,68.97,13.737551313774333
1990-05-28,52.03,2.71,12.29,17.4,6.29,62.88,14.68125160571708
1990-06-04,52.01,19.8,14.0,19.99,8.2,68.55,15.545085350845326
1990-06-11,52.08,92.91,13.6,17.34,10.49,85.14,16.316543908278064
1990-06-18,52.18,0.39,14.4,17.93,10.29,75.01,16.984456264954176
1990-06-25,52.22,25.2,16.6,21.47,11.74,79.0,17.53915079614639
1990-07-02,52.23,20.9,18.79,23.63,14.97,74.0,17.972595314262612
1990-07-09,52.21,11.12,15.33,19.4,11.29,72.63,18.27851337797424
1990-07-16,52.12,2.62,15.84,20.94,10.61,65.44,18.452475177471754
1990-07-23,52.09,1.68,16.73,21.76,12.8,70.13,18.491961679794024
1990-07-30,52.07,6.4,18.07,23.66,12.57,72.91,18.3964011053828
1990-08-06,52.05,0.51,20.7,27.26,13.3,56.77,18.167177207667976
1990-08-13,52.05,22.56,17.03,22.13,12.61,78.0,17.80760923579213
1990-08-20,52.06,45.74,16.79,21.76,13.2,79.65,17.32290387062163
1990-08-27,52.02,2.51,16.19,21.76,11.03,72.05,16.720079830029242
1990-09-03,51.98,10.33,17.56,23.64,12.97,73.45,16.00786623519208
1990-09-10,51.99,33.3,12.37,15.63,9.93,86.39,15.196576209600185
1990-09-17,51.99,3.31,11.86,15.8,8.44,80.39,14.297957541109334
1990-09-24,51.95,23.58,10.57,14.24,8.39,78.7,13.325022569508882
1990-10-01,51.94,10.41,11.03,14.59,7.99,80.89,12.291859762896769
1990-10-08,51.93,5.98,11.14,14.9,8.1,83.47,11.213429711308285
1990-10-15,51.93,0.0,12.49,17.86,7.91,78.1,10.105348491687192
1990-10-22,51.92,1.95,10.1,14.8,6.44,83.72,8.983661541157632
1990-10-29,51.93,7.87,5.31,10.56,1.49,73.44,7.864611312997452
1990-11-05,51.92,11.69,5.39,8.46,2.67,86.98,6.76440207974246
1990-11-12,51.91,2.43,4.46,6.64,2.16,92.54,5.698965289162971
1990-11-19,51.94,27.62,7.2,8.66,6.09,91.04,4.683728870845982
1990-11-26,51.96,22.43,2.84,4.61,1.23,89.86,3.733393833912349
