Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,39.9,0.63,-1.4,-0.03,-2.66,84.75,0.628894473968387
1990-01-08,39.87,2.12,-0.84,0.23,-2.37,86.55,0.327418842360732
1990-01-15,39.85,2.25,3.69,5.43,2.11,89.26,0.1573612154905692
1990-01-22,39.83,7.24,6.97,8.77,4.83,81.49,0.1211843040803728
1990-01-29,39.84,24.25,5.4,8.26,3.11,75.13,0.2194120085824416
1990-02-05,39.85,5.65,5.83,8.63,3.44,75.58,0.4506218322492152
1990-02-12,39.86,15.52,5.61,9.33,2.51,73.62,0.8114654811972812
1990-02-19,39.87,12.92,3.51,6.29,0.91,84.94,1.2967173531425402
1990-02-26,39.88,9.82,8.9,14.23,4.73,72.77,1.8993502126112576
1990-03-05,39.89,15.92,3.74,6.53,1.36,78.03,2.61063695672639
1990-03-12,39.91,17.92,7.83,10.39,5.51,78.07,3.4202769978358543
1990-03-19,39.92,0.56,7.7,14.3,1.97,69.29,4.316545432756832
1990-03-26,39.92,4.24,8.39,12.01,5.4,71.63,5.28646283842245
1990-04-02,39.92,1.26,8.19,13.71,3.11,69.51,6.315983235015336
1990-04-09,39.93,3.1,4.86,10.19,0.06,59.63,7.390197494574813
1990-04-16,39.93,9.31,7.53,12.54,3.07,68.93,8.493549249392483
1990-04-23,39.94,11.29,10.17,15.07,5.39,70.96,9.610060173489977
1990-04-30,39.92,6.1,10.14,14.6,6.67,68.24,10.723561374738605
1990-05-07,39.89,0.0,17.27,24.19,8.66,56.48,11.817927546686498
1990-05-14,39.86,48.24,15.56,20.64,11.26,68.71,12.877310489193665
1990-05-21,39.83,6.5,13.04,18.5,7.61,67.34,13.88636861611843
1990-05-28,39.81,0.06,12.5,18.26,5.97,60.43,14.830489126409097
1990-06-04,39.81,22.75,14.39,20.6,8.53,66.74,15.695999621204432
1990-06-11,39.81,53.79,13.9,17.8,10.61,81.75,16.47036610238174
1990-06-18,39.8,1.83,14.64,18.27,10.46,73.84,17.142374485213338
1990-06-25,39.8,25.22,17.0,21.83,12.41,77.67,17.70229299653254
1990-07-02,39.8,10.65,19.11,23.9,15.23,74.24,18.142013106619647
1990-07-09,39.79,10.43,15.66,19.89,11.64,71.89,18.45516695388613
1990-07-16,39.79,6.08,16.19,21.93,10.26,64.27,18.637219561855844
1990-07-23,39.79,2.42,16.9,22.71,12.2,68.57,18.685534512992284
1990-07-30,39.77,1.88,18.54,24.23,13.03,72.11,18.59941212830776
1990-08-06,39.74,0.17,21.3,27.96,14.17,57.28,18.380099599851853
1990-08-13,39.72,15.89,17.7,23.04,12.99,75.34,18.030772929344327
1990-08-20,39.68,45.78,17.16,22.2,13.89,77.86,17.5564909345103
1990-08-27,39.68,0.8,16.86,22.44,11.59,68.82,16.964121989180647
1990-09-03,39.69,20.57,18.03,23.93,13.64,70.97,16.262244558080386
1990-09-10,39.71,23.0,12.71,16.56,10.26,85.3,15.46102296672209
1990-09-17,39.73,4.88,12.46,16.39,8.99,77.59,14.572060205459284
1990-09-24,39.74,19.16,11.0,14.7,8.44,76.6,13.608229899334836
1990-10-01,39.76,8.27,11.4,15.33,8.11,80.97,12.583489877075486
1990-10-08,39.79,7.03,11.53,15.34,8.71,82.04,11.512680039055024
1990-10-15,39.82,0.0,12.67,18.07,8.04,77.96,10.411307451426952
1990-10-22,39.84,1.22,11.06,15.16,7.86,80.48,9.295321778613332
1990-10-29,39.87,9.0,6.17,11.0,2.34,71.5,8.180884306250707
1990-11-05,39.9,9.04,5.76,8.96,3.19,85.9,7.084133899518064
1990-11-12,39.95,1.84,5.17,7.29,2.71,91.19,6.020953286148381
