Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,46.56,0.3,-2.04,-0.73,-3.2,87.63,0.4124669937862606
1990-01-08,46.57,1.85,-1.44,-0.13,-3.07,88.12,0.1295019422813741
1990-01-15,46.59,1.69,3.66,5.29,2.09,89.83,-0.0195505682838383
1990-01-22,46.62,5.18,6.91,8.79,4.7,81.21,-0.0325323386342404
1990-01-29,46.66,22.89,5.44,8.36,3.11,73.38,0.0907446002033456
1990-02-05,46.68,5.74,6.16,9.44,3.64,73.18,0.3484952652116462
1990-02-12,46.69,15.28,5.69,9.74,2.31,73.32,0.7369875669661177
1990-02-19,46.68,13.5,3.37,6.21,0.84,86.14,1.2505963482596236
1990-02-26,46.69,8.46,9.64,15.31,4.93,70.39,1.8818848333190887
1990-03-05,46.71,14.14,3.61,6.09,1.26,77.33,2.621712308273394
1990-03-12,46.72,15.66,7.86,10.56,5.61,77.71,3.4593664737179344
1990-03-19,46.73,0.41,7.77,15.21,1.24,68.06,4.38271855298324
1990-03-26,46.73,3.55,8.43,12.36,5.36,72.12,5.378398910223543
1990-04-02,46.74,0.05,8.1,14.03,2.73,70.77,6.431990635471148
1990-04-09,46.75,0.9,4.66,10.13,-0.41,60.87,7.528238293650958
1990-04-16,46.75,8.6,7.79,13.34,2.09,68.75,8.651268814981936
1990-04-23,46.75,10.18,10.06,15.59,4.83,71.67,9.78482132839309
1990-04-30,46.73,6.65,9.97,14.37,6.74,71.62,10.91248261009179
1990-05-07,46.72,0.0,17.11,24.66,7.14,56.81,12.01792473811604
1990-05-14,46.72,20.18,15.41,21.1,10.77,71.9,13.085141511762634
1990-05-21,46.72,4.62,12.59,17.76,7.06,66.43,14.098680212667084
1990-05-28,46.71,3.3,12.47,17.73,6.84,60.32,15.04386535175974
1990-06-04,46.69,19.46,14.2,20.11,8.39,68.71,15.907011162364562
1990-06-11,46.68,108.58,13.8,17.7,10.71,83.97,16.67561976265649
1990-06-18,46.69,0.48,14.7,18.37,10.57,72.25,17.338562118191774
1990-06-25,46.69,28.29,17.0,22.01,12.06,76.31,17.886239184272974
1990-07-02,46.7,19.2,19.11,24.06,15.29,72.79,18.310720894894924
1990-07-09,46.72,12.41,15.63,19.77,11.53,71.25,18.605860985786755
1990-07-16,46.72,5.06,16.1,21.37,10.9,64.53,18.767385988975235
