Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,20.85,0.58,-1.96,0.1,-3.89,91.67,0.354704169408123
1990-01-08,20.84,1.74,-2.11,-0.23,-4.4,85.4,0.0714440776958991
1990-01-15,20.86,1.07,3.23,4.67,1.3,91.94,-0.0745639832719557
1990-01-22,20.89,3.9,7.04,9.27,4.54,82.35,-0.081205883333256
1990-01-29,20.91,19.23,5.84,8.53,3.14,74.12,0.0516145491970405
1990-02-05,20.9,2.83,6.11,10.79,2.39,75.23,0.3219741350046909
1990-02-12,20.86,8.07,6.09,10.91,2.54,71.17,0.7259581905359642
1990-02-19,20.81,17.86,3.7,7.19,0.67,85.86,1.257717210830794
1990-02-26,20.81,11.13,10.07,16.13,4.8,69.17,1.9095515676881811
1990-03-05,20.88,21.87,3.94,6.81,1.21,77.37,2.672022996772262
1990-03-12,20.93,12.69,8.46,11.71,5.59,77.35,3.5340912593775826
1990-03-19,20.97,0.38,8.33,16.01,1.57,67.29,4.483274000052287
1990-03-26,20.97,2.16,9.11,13.41,5.46,72.14,5.505827485415132
1990-04-02,20.95,0.0,8.51,14.36,2.76,74.07,6.586945607149058
1990-04-09,20.92,2.24,5.14,11.44,-0.83,64.13,7.71097426770044
1990-04-16,20.87,4.76,7.89,14.0,1.39,66.44,8.86163804447493
1990-04-23,20.79,6.5,10.61,16.56,5.27,72.84,10.022275850537676
1990-04-30,20.78,8.44,9.59,13.63,6.16,78.29,11.176082179556316
1990-05-07,20.76,0.0,16.49,24.66,5.83,59.61,12.306350441872109
1990-05-14,20.75,26.57,15.89,22.63,9.7,72.45,13.396714868301594
1990-05-21,20.82,1.41,12.9,19.03,6.31,66.41,14.431387479014266
1990-05-28,20.81,4.48,13.04,19.06,6.84,60.57,15.39538668628274
1990-06-04,20.79,18.96,14.33,20.66,8.19,68.0,16.274754221043878
1990-06-11,20.79,61.64,14.34,18.74,11.04,81.75,17.056757242271214
1990-06-18,20.82,1.69,15.3,19.84,10.57,73.92,17.730072702708924
1990-06-25,20.8,22.23,17.69,23.51,12.39,75.4,18.284951301433885
1990-07-02,20.73,36.31,19.57,24.73,14.79,74.95,18.713358649288946
1990-07-09,20.66,11.88,16.21,20.94,11.77,73.63,19.009091603175023
