Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,52.4,0.87,-1.57,-0.24,-2.73,83.39,0.6181390892736829
1990-01-08,52.4,1.78,-0.77,0.47,-2.71,84.45,0.3272344754942029
1990-01-15,52.38,3.75,3.7,5.6,1.99,88.76,0.1669694408788746
1990-01-22,52.37,6.98,6.93,8.8,4.64,81.51,0.1396647763338698
1990-01-29,52.38,22.03,5.23,8.7,2.5,76.33,0.245715879503626
1990-02-05,52.4,5.69,5.83,9.39,3.16,76.31,0.4835870290349735
1990-02-12,52.43,13.4,5.46,9.6,1.83,75.02,0.849833623290337
1990-02-19,52.46,12.44,3.51,6.67,0.79,85.57,1.3391520614724275
1990-02-26,52.5,9.47,9.01,14.7,4.39,74.47,1.944456544833572
1990-03-05,52.54,16.82,3.67,6.61,1.23,82.11,2.656981685815466
1990-03-12,52.57,16.04,7.84,10.39,5.44,81.53,3.46640943923998
1990-03-19,52.58,0.42,7.64,14.96,1.66,72.72,4.361018517467183
1990-03-26,52.57,2.09,8.4,12.07,5.36,73.89,5.32785412584493
1990-04-02,52.55,0.04,7.67,14.29,2.04,74.07,6.352915560519943
1990-04-09,52.52,2.98,4.37,10.37,-0.83,63.42,7.421358952013088
1990-04-16,52.51,12.81,7.03,12.33,2.0,73.32,8.517712218639883
1990-04-23,52.5,4.71,9.54,15.33,4.29,73.59,9.626099117043278
1990-04-30,52.48,4.56,10.04,15.03,6.07,69.77,10.730469145374837
1990-05-07,52.46,0.0,17.04,24.73,7.17,58.6,11.814829969904425
1990-05-14,52.45,3.8,14.97,20.64,9.73,72.17,12.863479009300953
1990-05-21,52.42,2.87,12.99,18.53,7.3,66.89,13.861230823020415
1990-05-28,52.42,2.22,12.14,18.23,5.13,60.9,14.793637011001918
1990-06-04,52.42,19.5,14.19,20.9,7.63,65.54,15.647195440312014
1990-06-11,52.41,32.08,13.67,17.81,10.27,82.81,16.40954576893735
1990-06-18,52.4,0.1,14.43,18.7,9.64,73.13,17.06964843535244
1990-06-25,52.39,11.72,16.76,21.81,11.83,76.34,17.61794452192419
1990-07-02,52.38,16.44,18.93,24.07,14.99,74.79,18.046494177176697
1990-07-09,52.36,10.73,15.3,20.01,11.1,73.23,18.349091592430987
1990-07-16,52.36,8.57,16.06,22.24,9.96,65.37,18.521354867846892
1990-07-23,52.33,1.33,16.93,22.91,12.04,67.15,18.560789466521776
1990-07-30,52.32,0.1,18.69,24.99,12.46,69.07,18.466824337769403
1990-08-06,52.3,0.0,21.46,28.86,13.17,54.42,18.24082018647983
1990-08-13,52.28,17.41,18.01,23.57,12.86,72.73,17.88604976881186
1990-08-20,52.26,35.53,17.07,22.36,13.77,77.54,17.40765049955518
