Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,38.14,0.33,-1.59,-0.26,-3.06,86.74,0.7954128215521497
1990-01-08,38.14,1.59,-1.37,-0.1,-3.37,86.58,0.5206783972615412
1990-01-15,38.13,2.11,3.83,5.47,1.99,88.56,0.3814769392819492
1990-01-22,38.13,6.63,7.04,8.97,4.84,79.88,0.3798238981622273
1990-01-29,38.14,23.2,5.74,8.54,3.2,71.83,0.5157432077223252
1990-02-05,38.14,8.27,6.63,10.06,3.61,70.13,0.7872669385236506
1990-02-12,38.15,12.18,6.11,10.01,2.24,69.75,1.1904637908498523
1990-02-19,38.16,14.17,3.99,6.7,1.07,83.18,1.719496014657846
1990-02-26,38.15,11.48,10.13,15.43,5.16,67.59,2.366703932374476
1990-03-05,38.16,15.12,3.84,6.34,1.36,75.5,3.1227168407620143
1990-03-12,38.16,16.24,8.27,11.33,5.39,75.73,3.9765886861420894
1990-03-19,38.16,0.2,8.86,15.51,2.89,62.82,4.915956548582672
1990-03-26,38.16,2.85,8.83,12.5,5.63,70.69,5.927219640409456
1990-04-02,38.16,0.0,8.86,13.86,3.34,69.76,6.995736227383143
1990-04-09,38.16,1.15,5.43,10.91,0.64,58.55,8.106035621387921
1990-04-16,38.15,9.63,8.44,13.47,3.47,65.25,9.242042175260751
1990-04-23,38.15,8.08,10.87,15.9,5.91,68.38,10.387308036617554
1990-04-30,38.14,10.4,10.09,14.0,6.79,71.54,11.525251290711452
1990-05-07,38.12,0.0,18.21,25.06,9.29,50.49,12.639396044334726
1990-05-14,38.1,8.83,15.99,21.39,11.76,67.81,13.713610974670884
1990-05-21,38.09,3.13,13.16,18.6,8.0,62.21,14.732342889229278
1990-05-28,38.09,0.31,13.29,18.33,7.63,55.04,15.680841915227434
1990-06-04,38.09,19.48,14.77,20.33,9.33,63.31,16.545375057980642
1990-06-11,38.11,93.94,13.89,17.49,10.83,80.57,17.313425036259552
1990-06-18,38.12,5.94,15.29,18.89,11.31,68.98,17.973871515746268
1990-06-25,38.13,35.51,17.63,22.4,13.04,70.65,18.51715211657142
1990-07-02,38.12,14.18,19.79,24.3,16.0,68.1,18.935400863758822
1990-07-09,38.12,16.13,16.14,20.3,12.19,66.78,19.222562076000877
1990-07-16,38.11,2.68,16.61,21.66,11.21,59.88,19.37447804380787
1990-07-23,38.1,1.35,17.13,22.4,12.86,64.47,19.38894922756908
1990-07-30,38.08,0.83,19.37,25.2,13.47,66.5,19.265766103938432
1990-08-06,38.07,0.0,22.24,28.33,15.2,48.6,19.006712199451748
1990-08-13,38.03,12.08,18.07,23.79,13.33,69.2,18.61553826745284
1990-08-20,38.06,28.8,17.77,22.96,14.3,70.54,18.097907982212
1990-08-27,38.06,2.64,17.16,22.59,11.99,64.91,17.461315936513202
1990-09-03,38.04,21.18,18.56,24.64,13.9,66.53,16.71497912999513
1990-09-10,38.03,23.78,12.94,16.31,10.74,81.21,15.869703519349322
1990-09-17,38.04,3.76,12.56,16.34,9.37,73.73,14.937727562549846
1990-09-24,38.05,17.76,11.21,15.06,8.99,72.45,13.932545022384213
1990-10-01,38.05,7.38,11.81,15.61,8.47,75.29,12.86870959485303
1990-10-08,38.05,2.48,11.81,15.89,8.49,77.71,11.761624191157312
1990-10-15,38.04,0.0,13.47,18.74,8.61,71.12,10.627317924187722
1990-10-22,38.04,0.08,10.66,15.61,7.29,77.11,9.482214028452969
1990-10-29,38.04,6.61,6.13,11.19,2.09,67.71,8.342892073654719
1990-11-05,38.05,9.18,5.97,9.0,3.14,80.89,7.225847914739113
1990-11-12,38.06,0.98,4.94,7.17,2.49,88.39,6.147254854025389
1990-11-19,38.08,27.15,7.47,9.17,6.17,87.19,5.12272947346434
1990-11-26,38.1,16.65,3.56,5.33,1.81,86.42,4.167105527461552
1990-12-03,38.12,6.95,1.64,3.94,-1.27,89.26,3.2942191699943324
1990-12-10,38.13,29.95,-0.57,1.4,-2.93,83.98,2.516708625645818
1990-12-17,38.13,16.07,0.43,1.6,-0.54,88.97,1.845831205051207
1990-12-24,38.14,10.87,0.41,2.13,-1.39,88.65,1.291300314127202
1990-12-31,38.14,14.12,3.19,5.37,0.67,75.08,0.8611448169725868
1991-01-07,38.15,15.67,5.59,7.26,3.21,74.96,0.5615927886766361
1991-01-14,38.15,3.26,4.77,7.5,2.54,72.99,0.3969813411389147
1991-01-21,38.16,3.15,-1.46,2.33,-5.54,74.15,0.3696938275017203
1991-01-28,38.16,0.14,1.49,2.49,0.41,87.29,0.4801253343908342
1991-02-04,38.16,0.79,-5.0,-1.71,-8.0,64.24,0.7266769615906892
1991-02-11,38.16,13.41,-5.74,-3.56,-8.29,80.92,1.1057789719765925
1991-02-18,38.17,4.91,-3.14,-0.99,-5.7,85.49,1.6119424765239998
1991-02-25,38.17,4.54,2.29,6.97,-2.31,81.17,2.2378389060651878
1991-03-04,38.17,0.0,1.83,5.47,-1.16,75.11,2.974406119148804
1991-03-11,38.17,4.16,6.63,10.87,2.46,75.53,3.810979609702674
1991-03-18,38.18,0.84,8.31,13.5,4.19,78.93,4.735446914788785
1991-03-25,38.19,35.6,8.27,11.6,5.01,77.23,5.734422986833075
1991-04-01,38.19,7.95,4.61,7.96,0.7,66.99,6.7934439911752005
1991-04-08,38.2,7.06,10.2,14.96,5.69,69.83,7.897176723009474
1991-04-15,38.2,0.0,12.04,17.27,4.51,55.08,9.029640611640346
1991-04-22,38.2,17.9,3.1,7.53,-0.67,71.32,10.174439097728436
1991-04-29,38.21,5.13,8.1,12.3,3.03,67.39,11.314997033494231
1991-05-06,38.21,32.04,7.29,10.49,4.24,77.85,12.434800668643762
1991-05-13,38.22,7.17,10.44,13.87,6.33,72.6,13.517636747340266
1991-05-20,38.22,6.19,10.14,14.46,4.16,66.59,14.5478272544192
1991-05-27,38.22,6.52,11.21,14.89,6.93,65.05,15.510456412035609
1991-06-03,38.21,3.05,14.79,19.71,8.16,57.99,16.391586640136644
1991-06-10,38.2,4.9,14.34,18.56,8.91,64.0,17.178460353941112
1991-06-17,38.18,28.34,15.07,18.97,11.64,65.93,17.85968467666895
1991-06-24,38.17,20.95,16.56,21.23,11.5,69.55,18.425396393127848
1991-07-01,38.16,17.73,16.79,20.56,12.21,70.22,18.86740475585021
1991-07-08,38.15,0.0,23.69,28.9,16.33,55.7,19.17931007613896
1991-07-15,38.13,8.96,21.57,26.59,15.7,64.55,19.356596382982808
1991-07-22,38.12,6.14,17.3,21.43,13.67,69.44,19.39669680826399
1991-07-29,38.1,8.26,19.94,25.67,12.97,61.3,19.299030751568424
1991-08-05,38.07,4.66,21.74,26.29,17.06,69.27,19.0650122865016
1991-08-12,38.05,10.4,20.79,26.13,16.31,68.51,18.698029686797888
1991-08-19,38.02,7.13,16.97,22.1,12.43,66.97,18.20339636865803
1991-08-26,38.01,11.41,17.47,21.97,12.74,70.12,17.588273959603722
1991-09-02,38.0,0.7,17.14,22.84,11.73,70.1,16.86156860770939
1991-09-09,38.0,1.98,15.47,21.07,10.11,67.99,16.033802032514398
1991-09-16,37.99,9.6,14.69,21.41,8.51,67.06,15.116959184625705
1991-09-23,37.98,16.9,14.54,19.93,10.2,74.05,14.124314719695713
1991-09-30,37.97,7.19,15.59,20.01,11.46,71.62,13.070240799199595
1991-10-07,37.96,5.08,12.59,17.49,8.49,71.35,11.969999000799213
1991-10-14,37.95,6.46,13.47,19.21,9.33,77.7,10.839519351152653
1991-10-21,37.94,8.02,8.09,12.7,4.43,74.29,9.695169680478225
1991-10-28,37.95,1.22,3.7,8.54,-0.81,77.51,8.553518638309562
1991-11-04,37.96,7.77,5.16,8.81,1.46,71.62,7.431095801656536
1991-11-11,37.98,38.63,5.54,7.9,3.2,82.97,6.344152348883263
1991-11-18,38.0,0.7,5.09,7.21,3.17,79.09,5.308425764426067
1991-11-25,38.01,2.6,2.37,4.83,-0.47,86.1,4.338911981110705
1991-12-02,38.02,0.0,2.96,4.71,1.46,88.49,3.449648259143121
1991-12-09,38.03,1.58,0.59,3.36,-1.66,83.9,2.653509945394899
1991-12-16,38.06,0.02,-1.34,1.6,-5.27,76.32,1.962024055636552
1991-12-23,38.08,35.1,4.09,6.36,0.99,83.79,1.3852023787980805
1991-12-30,38.09,6.14,3.03,5.71,0.23,83.93,0.9313965196834104
1992-01-06,38.09,7.06,4.41,6.56,2.13,81.53,0.6071769789259545
1992-01-13,38.08,3.8,2.1,5.06,-1.03,86.11,0.4172380209454545
1992-01-20,38.07,21.75,2.9,5.51,0.17,84.99,0.3643297072905955
1992-01-27,38.07,0.76,-3.79,-1.16,-7.01,87.53,0.4492180794335194
1992-02-03,38.07,5.2,0.84,1.96,-0.51,93.1,0.6706740675159768
1992-02-10,38.07,5.15,4.14,7.01,1.29,82.94,1.0254912856336365
1992-02-17,38.08,19.0,4.67,7.29,2.61,86.1,1.508532456006666
1992-02-24,38.08,9.11,2.04,4.37,-0.77,86.34,2.112803789876822
1992-03-02,38.08,2.0,5.76,12.0,1.07,77.12,2.829556248195355
1992-03-09,38.08,8.26,7.03,11.16,3.74,74.8,3.648412215982658
1992-03-16,38.1,19.2,3.57,7.66,0.14,73.77,4.55751575628473
1992-03-23,38.11,30.57,6.11,9.73,2.81,81.7,5.543704268250526
1992-03-30,38.09,13.34,3.13,5.83,0.49,82.36,6.5926990639513
1992-04-06,38.09,7.16,6.3,11.24,2.11,72.44,7.689312104645013
1992-04-13,38.11,2.51,9.23,14.2,3.61,59.33,8.817665903221775
1992-04-20,38.11,19.61,6.51,10.21,3.29,73.18,9.961423408937629
1992-04-27,38.11,12.06,12.01,16.87,6.46,59.92,11.104024546013829
1992-05-04,38.11,5.97,10.81,15.09,5.6,66.13,12.228925981339804
1992-05-11,38.1,20.72,10.97,15.37,6.54,71.91,13.319840649764346
1992-05-18,38.08,0.6,15.96,21.57,9.46,59.91,14.36097356897094
1992-05-25,38.05,0.0,20.03,25.74,11.74,45.35,15.337250529652415
1992-06-01,38.01,0.0,19.16,24.43,12.13,47.55,16.234536349858814
1992-06-08,37.99,8.76,21.33,26.89,16.13,50.15,17.03983953348755
1992-06-15,37.96,16.19,17.99,22.76,12.66,64.29,17.741500369735327
1992-06-22,37.95,0.71,20.1,25.0,13.44,51.7,18.32935975008379
1992-06-29,37.95,0.0,20.86,26.7,12.16,44.35,18.79490625857532
1992-07-06,37.94,14.29,20.77,26.16,15.33,58.43,19.13139940570874
1992-07-13,37.95,6.92,20.34,25.51,13.91,58.35,19.33396722169352
1992-07-20,37.96,9.4,19.86,24.54,13.96,63.81,19.399676796042694
1992-07-27,37.98,17.73,21.57,28.13,15.99,61.4,19.327576742185997
1992-08-03,38.01,3.78,21.8,27.97,14.84,57.31,19.11871097227221
1992-08-10,38.04,2.0,23.83,31.0,16.63,52.74,18.776103582720467
1992-08-17,38.02,26.82,17.39,21.41,13.94,70.09,18.304715069356988
1992-08-24,38.0,17.59,18.59,23.19,13.63,67.33,17.711370506083824
1992-08-31,38.0,71.39,19.99,25.29,15.84,75.58,17.004660726955926
1992-09-07,38.02,17.58,13.0,17.04,9.41,77.57,16.194817942417767
