Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,19.74,0.79,-1.5,0.01,-2.63,87.61,0.9846478761815742
1990-01-08,19.83,3.49,-0.57,0.9,-2.57,87.58,0.6931670986477787
1990-01-15,19.83,2.6,4.23,6.19,2.3,90.06,0.5299857580272782
1990-01-22,19.77,5.9,7.33,9.19,5.11,83.84,0.4974669189963663
1990-01-29,19.82,22.07,5.71,9.34,2.9,77.33,0.5960814939739354
1990-02-05,19.98,4.04,6.49,10.01,3.71,76.06,0.8244014237357291
1990-02-12,19.98,13.12,5.91,10.14,1.97,76.4,1.1791203574522875
1990-02-19,19.99,13.82,3.9,7.23,1.03,87.36,1.655101532678274
1990-02-26,20.06,8.2,9.74,15.4,4.94,74.61,2.2454521619327528
1990-03-05,20.22,21.55,3.9,6.86,1.21,82.01,2.9416232486617906
1990-03-12,20.33,17.03,8.21,10.73,5.89,81.73,3.733533387127169
1990-03-19,20.35,0.1,8.31,15.86,1.41,72.97,4.609714753447241
1990-03-26,20.24,4.06,8.7,12.79,5.23,73.93,5.557479173662254
1990-04-02,20.27,0.0,7.67,14.77,1.5,74.74,6.563101863956041
1990-04-09,20.15,2.04,4.23,11.0,-1.44,64.85,7.612020182251408
1990-04-16,20.08,19.12,7.1,12.39,2.37,75.21,8.689044513014819
1990-04-23,19.98,7.39,9.24,15.56,3.27,76.42,9.778578231400203
1990-04-30,19.9,2.66,10.34,15.9,5.8,70.66,10.864843561383918
1990-05-07,19.9,0.0,16.56,25.49,5.94,60.52,11.93211005718952
1990-05-14,19.86,15.35,14.79,20.93,8.8,73.06,12.964922399312576
1990-05-21,19.81,4.6,12.93,18.74,7.24,69.4,13.9483242063824
1990-05-28,19.73,0.0,11.71,18.26,4.17,62.44,14.868074621790898
1990-06-04,19.66,29.13,14.29,20.97,7.73,66.11,15.71085453865126
1990-06-11,19.6,24.0,13.79,17.74,10.4,84.72,16.464459476697275
1990-06-18,19.57,0.0,14.07,18.66,8.73,73.5,17.117976318030657
1990-06-25,19.58,7.58,17.26,22.19,12.49,71.94,17.661941342367953
1990-07-02,19.56,31.37,18.97,24.2,15.36,74.95,18.08847727324322
1990-07-09,19.52,12.04,15.34,19.9,11.24,72.33,18.3914073505711
1990-07-16,19.47,4.11,16.03,22.34,9.91,66.0,18.56634477766024
1990-07-23,19.42,0.0,16.9,22.39,12.14,67.49,18.6107562473755
1990-07-30,19.34,0.48,18.63,25.69,11.61,67.81,18.52399862751252
1990-08-06,19.26,1.7,21.31,29.31,12.41,53.97,18.307328274135763
1990-08-13,19.2,13.48,18.16,23.83,12.81,72.26,17.963882838011642
1990-08-20,19.14,43.74,17.14,22.39,13.74,76.96,17.498635827601717
