Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,41.34,0.23,-1.61,-0.36,-2.74,82.82,0.6058638085570962
1990-01-08,41.37,1.61,-0.79,0.44,-2.7,83.42,0.3151800381081031
1990-01-15,41.4,1.34,3.71,5.61,1.96,88.22,0.155907806533655
1990-01-22,41.43,6.26,6.91,8.79,4.64,81.11,0.1303535480682534
1990-01-29,41.44,21.72,5.16,8.69,2.4,75.96,0.2388873160223656
1990-02-05,41.47,5.14,5.67,9.46,2.96,76.46,0.4799374240101564
1990-02-12,41.49,13.09,5.34,9.61,1.73,75.23,0.8500132056688248
1990-02-19,41.52,10.76,3.47,6.7,0.73,85.29,1.3437555632840894
1990-02-26,41.54,8.67,8.79,14.61,4.06,75.23,1.9540145733233976
1990-03-05,41.57,17.32,3.67,6.61,1.21,82.11,2.6719530250643477
1990-03-12,41.6,13.82,7.84,10.34,5.49,81.37,3.487174392967024
1990-03-19,41.63,0.89,7.41,14.96,1.43,73.06,4.387873389612388
1990-03-26,41.65,2.3,8.34,11.96,5.3,74.06,5.361006919036412
1990-04-02,41.67,0.0,7.67,14.5,2.06,74.03,6.392482954871461
1990-04-09,41.7,2.87,4.43,10.47,-0.83,63.56,7.467364608134417
1990-04-16,41.72,10.79,7.06,12.49,1.77,74.01,8.57008642954018
1990-04-23,41.76,9.95,9.73,15.57,4.41,73.45,9.684679814047854
1990-04-30,41.75,4.38,10.11,15.13,6.2,70.04,10.795004243538443
1990-05-07,41.73,0.0,17.11,24.8,7.0,58.61,11.884981018980495
1990-05-14,41.71,3.3,15.06,20.73,9.8,72.72,12.938826097387912
1990-05-21,41.69,3.67,12.97,18.59,7.21,67.16,13.9412786618394
1990-05-28,41.64,0.7,12.3,18.47,5.14,61.16,14.877822114619
1990-06-04,41.59,23.01,14.21,21.19,7.44,66.34,15.734894293256705
1990-06-11,41.56,30.27,13.74,18.04,10.24,83.39,16.50008386531441
1990-06-18,41.53,2.62,14.57,18.9,9.77,73.59,17.16231005790764
1990-06-25,41.51,15.46,16.71,21.86,11.54,77.86,17.7119831192858
1990-07-02,41.51,10.35,18.9,24.09,14.86,75.47,18.14114318881279
1990-07-09,41.49,11.58,15.34,20.27,11.01,73.6,18.443575564360973
1990-07-16,41.44,8.55,16.06,22.4,9.77,65.66,18.614900697922
1990-07-23,41.4,1.65,17.01,23.2,12.14,67.43,18.65263761620023
1990-07-30,41.36,2.32,18.69,24.93,12.54,69.83,18.55623984779032
1990-08-06,41.31,0.0,21.41,28.97,12.99,54.59,18.327103336674405
1990-08-13,41.29,18.98,17.93,23.51,12.87,73.99,17.968546227442957
1990-08-20,41.28,29.35,17.01,22.44,13.61,78.82,17.485760814971027
1990-08-27,41.26,0.85,17.11,23.0,11.63,68.43,16.88573835437094
1990-09-03,41.25,21.78,18.1,24.43,13.53,72.75,16.177167820054013
1990-09-10,41.26,34.73,12.73,16.84,9.93,87.25,15.370310079980351
1990-09-17,41.27,3.04,12.59,16.99,8.59,78.31,14.476849307189164
1990-09-24,41.27,19.84,10.93,14.87,8.33,78.6,13.509723780331925
1990-10-01,41.27,6.19,11.29,15.53,7.97,81.25,12.482938523398882
1990-10-08,41.27,6.88,11.39,15.54,8.29,83.82,11.411362497819376
1990-10-15,41.27,0.0,12.39,18.16,7.47,80.25,10.310513283813382
1990-10-22,41.27,0.02,11.03,16.0,7.1,82.12,9.196332369040617
1990-10-29,41.27,11.36,5.87,11.34,1.93,73.13,8.084954298611862
1990-11-05,41.26,9.42,5.57,8.64,2.89,85.99,6.992473029419509
1990-11-12,41.26,1.76,5.07,7.33,2.2,89.46,5.93470887222885
1990-11-19,41.26,27.31,7.79,9.46,6.61,90.05,4.926979396461995
1990-11-26,41.27,17.23,3.13,4.79,1.36,89.22,3.983877615220004
1990-12-03,41.29,5.39,1.84,4.29,-1.17,88.63,3.119060662664782
1990-12-10,41.31,16.0,-0.2,2.06,-2.49,84.19,2.3450520239400383
1990-12-17,41.33,9.38,0.66,1.99,-0.34,86.93,1.673060181557065
1990-12-24,41.36,11.78,0.74,2.56,-1.16,87.75,1.1128163044412815
1990-12-31,41.42,13.87,2.86,5.39,0.63,80.83,0.6724333300775296
1991-01-07,41.51,14.98,5.13,7.0,2.29,78.05,0.3582884803978174
1991-01-14,41.55,2.35,4.44,7.31,1.83,76.6,0.1749309127080067
1991-01-21,41.59,2.56,-1.34,2.21,-5.63,74.46,0.1250158429681853
1991-01-28,41.63,0.1,1.81,2.7,0.64,86.38,0.2092660953927474
1991-02-04,41.66,0.0,-4.1,-0.8,-7.36,63.87,0.4264616351737853
1991-02-11,41.68,10.94,-6.07,-3.46,-8.9,79.91,0.7734572359050382
1991-02-18,41.7,4.04,-3.21,-1.07,-6.99,83.44,1.245228025863229
1991-02-25,41.71,6.4,1.33,6.69,-4.2,83.53,1.834942253587181
1991-03-04,41.73,0.0,1.81,5.47,-1.1,73.83,2.5340602190303043
1991-03-11,41.74,1.86,6.66,10.46,2.1,80.54,3.33245793765683
1991-03-18,41.75,0.22,8.27,13.63,3.63,84.19,4.218573746691193
1991-03-25,41.77,20.45,7.76,11.01,4.66,80.87,5.179575730504013
1991-04-01,41.78,7.58,4.91,8.66,-0.2,66.42,6.2015475406334
1991-04-08,41.79,4.58,10.07,14.71,4.81,71.85,7.269689919567533
1991-04-15,41.8,0.0,12.19,17.46,3.64,56.89,8.368535010005015
1991-04-22,41.8,6.06,3.51,8.26,-1.63,66.74,9.482170346163526
1991-04-29,41.81,0.82,8.1,12.84,1.23,69.8,10.5944692835009
1991-05-06,41.82,20.31,7.43,10.7,3.16,80.69,11.689324529975728
1991-05-13,41.83,10.58,10.57,13.99,5.07,74.55,12.750881397063186
1991-05-20,41.83,5.63,10.67,14.69,3.43,68.7,13.763767392798286
1991-05-27,41.82,0.24,11.8,15.03,7.3,63.33,14.71331483209185
1991-06-03,41.81,1.46,14.97,19.61,6.61,59.79,15.585773240679805
1991-06-10,41.79,5.38,14.29,18.47,7.66,63.47,16.368508476867405
1991-06-17,41.78,18.67,14.26,18.46,9.69,71.0,17.050185687570558
1991-06-24,41.76,23.13,16.1,20.44,10.8,74.42,17.620933449251787
1991-07-01,41.73,11.62,16.24,19.94,10.81,76.56,18.07248671681318
1991-07-08,41.69,0.01,24.1,28.84,14.77,54.91,18.3983065103918
1991-07-15,41.65,7.28,22.01,26.7,13.57,63.51,18.59367460686265
1991-07-22,41.6,8.1,17.14,21.76,12.96,71.96,18.65576186481437
1991-07-29,41.58,10.91,20.5,25.46,11.5,64.02,18.5836691935778
1991-08-05,41.55,9.16,21.97,26.13,16.1,73.98,18.37844057303161
1991-08-12,41.51,28.94,21.53,26.81,15.83,69.96,18.043047935644157
1991-08-19,41.48,5.36,17.19,22.44,10.46,72.26,17.582348129675935
1991-08-26,41.45,2.4,17.83,22.66,11.3,71.75,17.003012586761965
1991-09-02,41.41,2.03,17.57,23.56,10.21,69.19,16.313430712363708
1991-09-09,41.34,0.27,16.29,22.0,9.86,66.5,15.523588398101213
1991-09-16,41.27,6.97,14.63,21.71,6.86,67.96,14.6449234152386
1991-09-23,41.21,11.52,14.41,20.37,9.27,76.95,13.690159783381038
1991-09-30,41.22,7.89,14.99,19.79,10.9,78.78,12.673123512904468
1991-10-07,41.21,3.83,12.51,17.06,8.06,77.45,11.60854238936681
1991-10-14,41.22,3.34,13.86,19.54,9.24,78.12,10.5118326992383
1991-10-21,41.22,5.06,8.39,12.73,3.89,76.24,9.398875985394302
1991-10-28,41.22,0.22,4.47,9.19,-0.9,76.73,8.285789065191647
1991-11-04,41.22,17.26,5.23,9.19,1.31,74.03,7.188690641516308
1991-11-11,41.22,28.34,5.7,8.21,3.33,85.74,6.123467886525924
1991-11-18,41.22,2.6,4.91,7.2,2.64,83.25,5.105546378208365
1991-11-25,41.22,2.56,2.59,4.76,-0.04,88.45,4.149666721323255
1991-12-02,41.21,0.29,2.49,4.3,0.69,91.31,3.269671087496397
1991-12-09,41.2,0.36,0.8,3.6,-1.51,84.4,2.4783027655985848
1991-12-16,41.2,0.02,-1.24,1.66,-5.03,77.7,1.7870216251355373
1991-12-23,41.19,35.74,4.0,6.59,0.73,85.25,1.205838164938401
1991-12-30,41.2,4.63,3.34,5.89,0.51,82.46,0.743168550310223
1992-01-06,41.21,9.98,4.93,7.0,2.83,81.93,0.4057127378465974
1992-01-13,41.21,5.38,1.97,4.94,-1.24,86.47,0.1983574528153528
1992-01-20,41.21,23.98,3.39,5.96,0.9,83.54,0.1241054240874692
1992-01-27,41.23,0.08,-3.79,-1.13,-7.09,85.21,0.1840319013743769
1992-02-03,41.26,6.86,0.94,2.27,-0.61,90.38,0.3772690844487449
1992-02-10,41.29,4.02,4.23,7.16,1.39,81.36,0.7010186898306934
1992-02-17,41.32,18.04,4.49,7.01,2.24,84.17,1.1505924729601205
1992-02-24,41.34,7.37,2.4,4.71,-0.66,83.81,1.719480119050318
1992-03-02,41.4,1.29,5.47,11.66,0.9,78.37,2.399443519489643
1992-03-09,41.43,8.46,6.49,11.21,2.91,77.32,3.180636068567466
1992-03-16,41.45,21.43,3.76,7.8,0.07,75.14,4.051745252978117
1992-03-23,41.48,24.0,5.53,9.0,1.83,83.74,5.00015646925271
1992-03-30,41.49,8.72,2.94,6.2,0.13,81.66,6.012135696865794
1992-04-06,41.53,10.98,5.43,10.97,1.29,75.17,7.073028381711657
1992-04-13,41.59,9.75,8.3,14.8,2.41,64.47,8.167471649902769
1992-04-20,41.65,17.55,6.19,10.16,2.71,72.68,9.279616778805588
1992-04-27,41.68,12.95,11.23,16.59,5.5,64.39,10.393358703691243
1992-05-04,41.66,5.08,9.84,14.8,3.83,67.82,11.49256923649748
1992-05-11,41.6,20.18,10.03,14.9,4.94,70.83,12.561330619441094
1992-05-18,41.54,0.18,15.0,20.89,7.89,62.7,13.584166031372916
1992-05-25,41.5,0.0,19.14,25.29,10.97,47.73,14.546263708892663
1992-06-01,41.47,0.0,18.56,24.41,10.17,48.87,15.433691436708116
1992-06-08,41.43,4.56,20.73,26.23,15.21,53.81,16.233598301186532
1992-06-15,41.38,4.72,17.4,22.97,12.67,61.36,16.934400785487625
1992-06-22,41.34,1.81,18.5,24.76,11.73,53.4,17.525950511420035
1992-06-29,41.31,0.0,19.77,26.96,9.8,45.52,17.99968119893723
1992-07-06,41.28,44.42,19.37,25.37,13.84,60.47,18.348732715140905
1992-07-13,41.25,23.01,19.26,25.43,11.99,57.26,18.5680504164274
1992-07-20,41.21,5.43,19.26,24.86,12.61,65.13,18.654458345195813
1992-07-27,41.2,12.14,20.53,27.66,15.16,61.08,18.60670522115033
1992-08-03,41.2,21.54,20.46,27.26,12.93,58.96,18.42548256119264
1992-08-10,41.21,0.0,22.79,30.37,15.0,53.71,18.113414665509
1992-08-17,41.21,26.57,16.36,21.2,12.6,69.86,17.675020614864327
1992-08-24,41.2,16.06,17.39,22.46,12.29,73.33,17.1166488294233
1992-08-31,41.2,44.94,18.7,24.31,15.17,80.13,16.446385136757836
1992-09-07,41.19,19.22,12.74,16.97,8.53,77.67,15.673935680315708
1992-09-14,41.18,0.47,13.61,19.04,9.23,72.4,14.810486363961832
1992-09-21,41.17,2.49,13.09,18.6,8.27,71.14,13.868540867988036
1992-09-28,41.16,4.8,14.53,20.87,9.57,76.57,12.861739582294522
1992-10-05,41.15,3.62,10.14,15.49,6.07,72.18,11.804662078785851
1992-10-12,41.14,6.9,7.3,11.9,3.37,80.24,10.712615983395908
1992-10-19,41.12,3.72,3.94,9.97,-0.7,73.65,9.6014153051025
1992-10-26,41.12,14.34,4.19,7.81,1.11,84.57,8.487151431967975
1992-11-02,41.13,15.4,2.8,6.21,-0.97,84.62,7.385960110429941
1992-11-09,41.13,5.12,7.01,10.04,3.73,82.56,6.3137877822353214
1992-11-16,41.14,22.84,4.27,6.91,1.29,87.45,5.286160662711113
1992-11-23,41.16,13.94,3.64,6.14,1.43,84.75,4.317959904367811
1992-11-30,41.21,18.97,4.73,7.73,2.09,87.41,3.4232061017109583
1992-12-07,41.25,9.27,3.66,6.6,0.96,83.53,2.6148562578633
1992-12-14,41.28,15.08,3.8,4.71,1.99,86.24,1.9046161531411936
1992-12-21,41.3,13.72,2.14,4.46,-0.36,89.85,1.3027708326905163
1992-12-28,41.32,0.04,-3.84,-1.73,-6.34,85.22,0.8180356679054341
1993-01-04,41.35,0.09,-6.26,-3.59,-8.43,83.67,0.4574301484212455
1993-01-11,41.39,17.6,3.91,6.59,-0.07,85.44,0.2261762323097151
1993-01-18,41.44,10.47,6.29,10.54,2.99,75.43,0.127622726476515
1993-01-25,41.48,15.06,5.94,8.74,2.73,77.72,0.1631967923140411
1993-02-01,41.51,5.13,-2.41,0.7,-5.3,84.91,0.3323832788603358
1993-02-08,41.54,2.02,0.67,2.26,-1.54,93.66,0.6327321827423962
1993-02-15,41.58,1.06,0.51,1.94,-0.4,91.84,1.0598941268757756
1993-02-22,41.63,22.48,1.1,3.83,-1.69,82.88,1.6076833441503604
1993-03-01,41.64,0.3,-1.81,1.9,-5.59,80.77,2.268167254030857
1993-03-08,41.65,2.22,-0.03,3.24,-2.91,80.63,3.031781334905375
