Date,GWL,P,T,Tmax,Tmin,rH,Tsin
1990-01-01,76.85,0.53,-2.1,-0.11,-4.09,89.97,0.1224958284958379
1990-01-08,76.84,0.79,-2.46,-0.51,-4.67,83.9,-0.1614314875188132
1990-01-15,76.84,1.86,2.7,4.36,0.73,91.15,-0.3077260892611662
1990-01-22,76.84,4.68,6.53,8.79,4.0,82.22,-0.3142696850476465
1990-01-29,76.83,18.96,5.49,8.31,2.84,74.56,-0.1809675260333207
1990-02-05,76.83,1.96,5.81,10.49,2.13,75.38,0.0902502218598844
1990-02-12,76.84,6.23,5.77,10.67,2.24,70.63,0.4954564260313159
1990-02-19,76.85,19.33,3.4,6.91,0.53,85.59,1.0287838506279634
1990-02-26,76.86,10.05,9.97,15.96,4.6,68.41,1.6825101119480506
1990-03-05,76.87,21.12,3.64,6.51,0.91,77.54,2.4471694956985672
1990-03-12,76.9,15.25,8.2,11.5,5.39,77.23,3.311690017034671
1990-03-19,76.91,0.24,8.3,15.7,1.79,66.27,4.263553738801823
1990-03-26,76.88,3.07,8.84,13.36,5.24,72.62,5.288978026632699
1990-04-02,76.84,0.06,8.33,14.0,2.93,74.12,6.373115116391103
1990-04-09,76.85,2.54,5.0,11.03,-0.61,64.61,7.50026710430095
1990-04-16,76.84,9.11,7.59,13.64,1.54,66.7,8.654113246782565
1990-04-23,76.81,6.18,10.34,16.0,5.14,73.33,9.817946278778471
1990-04-30,76.79,8.71,9.23,13.3,5.96,78.76,10.974914328767792
1990-05-07,76.73,0.0,16.33,24.16,6.4,59.16,12.108264927628015
1990-05-14,76.69,11.22,15.79,22.39,9.8,71.35,13.201587578187205
1990-05-21,76.62,1.13,12.83,18.99,6.41,66.92,14.239051373148886
1990-05-28,76.62,1.05,13.0,18.96,6.83,61.16,15.205634220769804
1990-06-04,76.62,16.88,14.09,20.43,8.09,68.29,16.08734035918844
1990-06-11,76.65,46.97,13.94,18.33,10.61,82.17,16.8714030098761
1990-06-18,76.71,1.55,15.13,19.7,10.51,75.15,17.546469235864627
1990-06-25,76.73,18.63,17.47,23.27,12.3,75.55,18.102764328071324
1990-07-02,76.75,30.41,19.59,24.73,14.76,74.28,18.53223333946872
1990-07-09,76.78,7.64,16.03,20.66,11.63,74.55,18.82865771773588
1990-07-16,76.71,1.83,16.01,22.2,9.76,67.94,18.98774534759432
1990-07-23,76.64,1.04,16.96,22.69,12.57,68.59,19.007192699048534
1990-07-30,76.59,12.13,18.74,25.16,12.3,70.91,18.88671818164775
1990-08-06,76.59,12.92,21.19,29.1,12.99,58.75,18.62806622181136
1990-08-13,76.58,16.0,17.89,24.41,12.5,72.57,18.23498200418009
1990-08-20,76.62,29.34,17.69,23.13,13.51,76.99,17.71315724272862
1990-08-27,76.6,3.36,16.46,22.94,10.56,71.81,17.070147766854067
1990-09-03,76.58,13.25,18.14,25.07,12.31,71.82,16.315264115762886
1990-09-10,76.6,17.5,12.83,16.47,10.31,83.53,15.459436725309471
1990-09-17,76.61,3.3,12.01,16.79,8.0,79.81,14.515057659330758
1990-09-24,76.61,18.62,11.13,15.36,8.36,76.42,13.495801177148618
1990-10-01,76.61,8.93,11.69,15.74,8.03,79.06,12.41642573535653
1990-10-08,76.59,1.89,12.2,17.21,8.74,78.87,11.292560290830457
1990-10-15,76.57,0.0,12.19,19.21,6.63,76.74,10.14047799921842
